,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
3,(b) (6) , 48 , 563 , 10 ," 1,299 ", -   , 188 , -   , -   ," 2,108 ",,"RCIS: 339 total denials, 337 due to alternate resources, 51 due to Medical Priorities, 6 due to notifications, 45 due to residency, 95 not specified"
  Federal Sub Total ,, 52 ," 1,026 ", 44 ," 1,448 ", 90 , 338 , -   , -   ," 2,998 ",,
1,(b) (6) , 2 , 15 , -   , 2 , 2 , -   , 3 , -   , 24 ,,
2,(b) (6) , 53 , 12 , 11 , 364 , -   , 17 , -   , 35 , 492 ,,
3,(b) (6) , -   , -   , 3 , -   , 1 , -   , -   , -   , 4 ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
8,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
9,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
10,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
11,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
12,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
14,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, 55 , 27 , 14 , 366 , 3 , 17 , 3 , 35 , 520 ,,
Bemidji TOTAL ,, 107 ," 1,053 ", 58 ," 1,814 ", 93 , 355 , 3 , 35 ," 3,518 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Billing Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2018,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Billing Federal and Tribal (b) (6)  PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 76 ," 2,302 ", 25 , -   , 145 , 177 , -   , -   ,"2,725 ",,
2,(b) (6) , 218 ," 3,854 ", 221 , 24 , 204 , 544 , 29 , 8 ,"5,102 ",,
3,(b) (6) , 26 , 541 , 66 , 43 , -   , 521 , -   , -   ,"1,197 ",,
4,(b) (6) , 110 , 313 , 144 , 2 , 35 , 81 , 8 , 37 ,730 ,,
5,(b) (6) , 14 ," 2,151 ", 8 , -   , 86 , 338 , 100 , -   ,"2,697 ",,
6,(b) (6) ," 3,067 "," 5,808 ", 18 , 70 , -   ," 1,014 ", -   , -   ,"9,977 ",,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,,"3,511 ","14,969 ",482 ,139 ,470 ,"2,675 ",137 ,45 ," 22,428 ",,OKAY
1,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , -   ,,
Billing TOTAL ,,"3,511 ","14,969 ",482 ,139 ,470 ,"2,675 ",137 ,45 ," 22,428 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Calfornia Area No Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2018,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
"California Federal and Tribal PRC 
Programs",,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,OKAY
1,None, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1,(b) (6) ," 1,186 ", 127 , 23 , -   , -   , -   , -   , -   ," 1,336 ",,
2,(b) (6) , 9 , 102 , 105 , -   , 21 , 46 , -   , 5 , 288 ,,
3,(b) (6) , 4 , 26 , 57 , 32 , 34 , 2 , -   , 129 , 284 ,,
4,(b) (6) , 15 , 2 , 6 , 12 , 8 , 3 , -   , -   , 46 ,,
5,(b) (6) , 4 , 49 , 2 , 4 ,, 1 , -   , -   , 60 ,,
6,(b) (6) , 6 , -   , -   , -   , -   , -   , 4 , 2 , 12 ,,
7,(b) (6) , 2 , 41 , 139 , 5 , 11 , 150 ,,, 348 ,,
8,(b) (6) , 10 , 245 , 45 , 81 , -   , 1 , -   , 310 , 692 ,,
9,(b) (6) , -   , 1 ,, 3 ,, 2 , -   , -   , 6 ,,
10,(b) (6) , 4 , 5 , 4 , 4 , 4 , 2 , 3 , -   , 26 ,,
11,(b) (6) , -   , 133 , 84 , 13 , 6 , 2 , -   , 10 , 248 ,,
12,(b) (6) , -   , 770 , -   , -   , -   , -   , -   , -   , 770 ,,
13,(b) (6) , 54 , 10 , 56 , 23 , 5 , 4 , -   , 49 , 201 ,,
14,(b) (6) , 2 , 230 , 96 , -   , -   , 1 ,, 4 , 333 ,,
15,(b) (6) , 237 , 100 , 141 , 37 , -   , 149 , -   , -   , 664 ,,
16,(b) (6) , 108 , 567 , 1 , -   , -   , -   , -   , -   , 676 ,,
17,(b) (6) , -   , 69 , 14 , -   , -   , 1 , 9 , 3 , 96 ,,
18,(b) (6) , -   , -   , -   , -   , 2 , -   , -   , -   , 2 ,,
19,(b) (6) , 94 , 17 , 4 , 7 , -   , -   , -   , -   , 122 ,,
20,(b) (6) , 109 , 986 , 41 , 104 , -   , 4 , -   , -   ," 1,244 ",,
21,(b) (6) , 24 , 98 , 26 , 124 , -   , 19 , -   , -   , 291 ,,
22,(b) (6) , 22 , 4 , 1 , 2 , 8 , 10 , -   , -   , 47 ,,
23,(b) (6) , 14 , 28 , 8 , -   , -   , -   , -   , 581 , 631 ,,
24,(b) (6) , 28 , 70 , 186 , 234 , 94 , 17 , -   , 26 , 655 ,,
25,(b) (6) , 6 , 8 , 43 , 22 , 27 , 3 , 23 , 23 , 155 ,,
26,(b) (6) , 5 , 69 , 10 , 25 , -   , 2 , -   , 1 ,,,
27,(b) (6) , 7 , 122 , 20 , 11 , 10 , 2 , 1 , 6 , 179 ,,
  Tribal Sub Total ,," 1,950 "," 3,879 "," 1,112 ", 743 , 230 , 421 , 40 ," 1,149 "," 9,524 ",,
California TOTAL,," 1,950 "," 3,879 "," 1,112 ", 743 , 230 , 421 , 40 ," 1,149 "," 9,524 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Great Plains Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2017,,,,,,,,,,
,,Great Plains Area Indian Health Service,,,,,,,,,,
,,,,,,,,,,,,
"Great Plains Federal and Tribal PRC 
Programs",,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
,,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 61 ," 3,086 ", 8 , 235 , -   , 231 , -   , -   ," 3,621 ",,
2,(b) (6) , 159 ," 1,870 ", 544 , 281 , -   , 354 , -   , -   ," 3,208 ",,
3,(b) (6) , 837 ," 5,090 ", 29 , 294 , -   , 368 , -   , -   ," 6,618 ",,
4,(b) (6) , 668 ," 1,347 ", 94 , 103 , -   ," 5,523 ", -   , -   ," 7,735 ",,
5,(b) (6) , 457 ," 2,083 ", 194 , 38 , -   , 265 , -   , -   ," 3,037 ",,
6,(b) (6) , 21 ," 1,946 ", 129 , 363 , -   , 702 , -   , -   ," 3,161 ",,
7,(b) (6) , 574 ," 1,350 ", 118 , 416 , -   , 87 , -   , -   ," 2,545 ",,
8,(b) (6) , 74 ," 1,209 ", 31 , 415 , -   , 335 , -   , -   ," 2,064 ",,
9,(b) (6) , 237 ," 1,211 ", 44 , 243 , -   , 62 , -   , -   ," 1,797 ",,
10,(b) (6) , 200 ," 1,326 ", 10 , 16 , -   , 240 , -   , -   ," 1,792 ",,
11,(b) (6) , 238 , 618 , 101 , 263 , -   ," 1,176 ", -   , -   ," 2,396 ",,
  Federal Sub Total ,," 3,526 "," 21,136 "," 1,302 "," 2,667 ", -   ," 9,343 ", -   , -   ," 37,974 ",,
1,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
8,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Great Plains TOTAL ,," 3,526 "," 21,136 "," 1,302 "," 2,667 ", -   ," 9,343 ", -   , -   ," 37,974 ",,
* ,"(b) (6)  was assumed by the Tribe on July 1, 2018.   Information for Denials only through June 29, 2018.",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Nashville Area Federal,,,,,,,,,,,
Purchased / Referred Care Denials                                         ,,,,,,,,,,,,
FY 2018,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,,,,,,,,,,,
"Nashville Federal and Tribal PRC 
Programs",,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , -   ,6,4, -   , -   ,5, -   ,24,39,OKAY,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,(b) (6) , -   ,28,13,27, -   , -   , -   , -   ,68,,
4,(b) (6) ,39,17,0,32, -   , -   ,8,5,101,,
5,(b) (6) ,0,37,16,83,49, -   ,6, -   ,191,,
6,(b) (6) ,11,54,1, -   ,55, -   ,1, -   ,122,,
7,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, 50 , 142 , 34 , 142 , 104 , 5 , 15 , 29 , 521 ,,
1,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Nashville TOTAL,, 50 , 142 , 34 , 142 , 104 , 5 , 15 , 29 , 521 ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Navajo Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2018,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Navajo Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 62 ," 9,303 ", 135 , 223 , -   , 181 , -   , -   ," 9,904 ",,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,(b) (6) , 753 ," 7,705 ", -   , 331 , -   , 219 , -   , 161 ," 9,169 ",,
4,(b) (6) , -   ," 2,681 ", -   , -   , -   , -   , 15 , -   ," 2,696 ",,
5,(b) (6) , 117 ," 6,021 ", 220 , 541 , -   , 129 ," 1,044 ", -   ," 8,072 ",,
  Federal Sub Total ,, 932 ," 25,710 ", 355 ," 1,095 ", -   , 529 ," 1,059 ", 161 ," 29,841 ",,
1,(b) (6) , 4 ," 6,224 ", -   , 360 , 2 , -   , -   , -   ," 6,590 ",,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,(b) (6) ," 5,244 "," 8,217 ",, 644 ,," 1,184 ",," 2,183 "," 17,472 ",,
4,(b) (6) , 269 ," 2,462 ", 450 , 166 , 197 , 127 , 490 , 341 ," 4,502 ",,
5,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,," 5,517 "," 16,903 ", 450 ," 1,170 ", 199 ," 1,311 ", 490 ," 2,524 "," 28,564 ",,
Navajo TOTAL,," 6,449 "," 42,613 ", 805 ," 2,265 ", 199 ," 1,840 "," 1,549 "," 2,685 "," 58,405 ",,
,,,,,,,,,Indian Descent,,,
,,,,,,,,,,,,
,Oklahoma Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2018,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Oklahoma Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) ," 4,009 ", 210 , 115 , 103 , 23 , 6 , 81 , 74 ," 4,621 ",,
2,(b) (6) , 122 , 15 , 853 , 6 , -   , 2 , -   , -   , 998 ,,
3,(b) (6) , 67 , 22 , 4 , 40 , -   , 210 , -   , -   , 343 ,,
4,(b) (6) , 927 , 232 , 746 ," 1,698 ", -   , 100 , -   , -   ," 3,703 ",,
5,(b) (6) , 682 , 190 , 50 , 60 , -   , 36 , -   , -   ," 1,018 ",,
6,(b) (6) ," 1,681 ", 26 , 327 , 123 , -   , -   , -   , -   ," 2,157 ",,
7,(b) (6) , 138 , 81 , -   , 92 , -   , 6 , -   , 20 , 337 ,,
8,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,," 7,626 ", 776 ," 2,095 "," 2,122 ", 23 , 360 , 81 , 94 ," 13,177 ",OKAY,
1,(b) (6) , -   , 65 , 40 , 221 , 22 , 17 , 8 , 35 , 408 ,,
2,(b) (6) ," 2,647 ", 36 , 11 , 8 , -   , 313 , -   , -   ," 3,015 ",,
3,(b) (6) , 173 , 126 , 156 , -   , -   , 850 , -   , -   ," 1,305 ",,
4,(b) (6) , 267 , 125 , 18 , 98 , -   , 168 ," 1,640 ", 192 ," 2,508 ",,
5,(b) (6) , 18 , 21 , -   , -   , -   , 13 , 78 , 385 , 515 ,,
6,(b) (6) , 350 , 5 , 3 , -   , -   , -   , 4 ," 2,211 "," 2,573 ",,
7,(b) (6) , 8 , 6 , 15 , 42 , 71 , 271 , 1 , -   , 414 ,,
8,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,Confirmed none to report,
9,(b) (6) , 90 , 11 , 1 , 11 , -   , 39 , -   , -   , 152 ,,
10,(b) (6) , 39 , 83 , 122 , 235 , -   , -   , 66 ,, 545 ,,
11,(b) (6) , 50 , 68 , 199 , 11 , 70 , 381 , 164 , 19 , 962 ,,
12,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,Confirmed none to report,
13,(b) (6) , 93 , 33 , 2 , -   , -   , -   , -   , -   , 128 ,,
14,(b) (6) , 56 , 56 , 5 , 2 , 2 , -   , 56 ,, 177 ,,
  Tribal Sub Total ,," 3,791 ", 635 , 572 , 628 , 165 ," 2,052 "," 2,017 "," 2,842 "," 12,702 ",,
Oklahoma TOTAL,," 11,417 "," 1,411 "," 2,667 "," 2,750 ", 188 ," 2,412 "," 2,098 "," 2,936 "," 25,879 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Phoenix Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2018,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Phoenix Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 5 , 72 , 33 , 52 , -   , -   , -   , 8 , 170 ,,
2,(b) (6) , 60 ," 3,125 ", 20 , 137 , -   , 31 , -   , -   ," 3,373 ",,
3,(b) (6) , 52 ," 2,863 ", 82 , 15 , -   ," 5,552 ", -   , 35 ," 8,599 ",,
4,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,(b) (6) , 35 ," 1,022 ", 45 , 23 , -   , 146 , -   , -   ," 1,271 ",,
6,(b) (6) , 37 ," 3,646 ", 7 , 15 , -   , 175 , -   , -   ," 3,880 ",,
7,(b) (6) , 2 , 9 , -   , 1 , -   , 2 , -   , -   , 14 ,,
8,(b) (6) , 16 , 55 , -   , 46 , -   , 5 , -   , -   , 122 ,,
9,(b) (6) , 2 , 4 , -   , -   , -   , -   , -   , -   , 6 ,,
10,(b) (6) , -   , 54 , 1 , 2 , -   , 10 , -   , -   , 67 ,,
11,(b) (6) , 10 ," 4,189 ", 3 , 92 , -   , 28 , -   , -   ," 4,322 ",,
12,(b) (6) , 10 , 14 , 31 , 92 , -   , 9 , -   , -   , 156 ,,
13,(b) (6) , 15 , 62 , 22 , 10 , -   , 9 , -   , -   , 118 ,,
  Federal Sub Total ,, 244 ," 15,115 ", 244 , 485 , -   ," 5,967 ", -   , 43 ," 22,098 ",,
1,(b) (6) , -   , 5 , 16 , -   , -   , -   , -   , 16 , 37 ,,
2,(b) (6) , -   , 182 , -   , 3 , -   , 30 , -   , -   , 215 ,,
3,(b) (6) , 45 ," 2,248 ", 46 , 450 , -   , 124 , -   , -   ," 2,913 ",,
4,(b) (6) ,," 6,725 ", 42 , 869 ," 1,642 "," 2,406 ", -   ," 1,096 "," 12,780 ",,
5,(b) (6) , 2 , 841 , 2 , 1 , -   , 22 , -   , -   , 868 ,,
6,(b) (6) , -   , 4 , 2 , -   , -   , 4 , -   , -   , 10 ,,
7,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
8,(b) (6) , 52 , 3 , 40 , 32 , 9 , 14 , 47 , 3 , 200 ,,
9,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
10,(b) (6) , 1 , 17 , 4 , 5 , -   , 1 , -   , 5 , 33 ,,
11,(b) (6) , -   , 1 , -   , 3 , 10 , -   , -   , 1 , 15 ,,
