NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,c. endodontics (root canal),0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,33 ,0 ,33 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,4 ,80 ,0 ,80 ,0 ,2 ,2 ,0 ,15 ,15 ,0 ,47 ,47 ,"1,838 ",0 ,"1,838 ","1,954 ",67 ,"2,021 "
,d. periodontics (gum surgery),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,55 ,193 ,248 ,0 ,0 ,0 ,66 ,193 ,259 
,e. oral surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,285 ,0 ,285 ,0 ,0 ,0 ,2 ,0 ,2 ,3 ,12 ,15 ,8 ,0 ,8 ,0 ,16 ,16 ,0 ,16 ,16 ,0 ,240 ,240 ,0 ,0 ,0 ,298 ,285 ,583 
,f. other ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,62 ,0 ,62 ,0 ,0 ,0 ,0 ,0 ,0 ,51 ,1 ,52 ,56 ,130 ,186 ,1 ,239 ,240 ,0 ,1 ,1 ,0 ,25 ,25 ,0 ,0 ,0 ,171 ,396 ,567 
 3. ENT Services,a. non-acute otitis media,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,10 ,31 ,0 ,31 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,46 ,85 ,269 ,9 ,278 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,339 ,65 ,404 
,b. tympanoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,6 ,0 ,6 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,8 ,4 ,12 
,c. T&As,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,1 ,16 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,4 ,0 ,4 ,77 ,2 ,79 ,0 ,0 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,100 ,8 ,108 
,d. septo-rhinoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,11 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,19 ,0 ,19 ,4 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35 ,0 ,35 
,e. P E tubes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,0 ,2 ,150 ,0 ,150 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,152 ,3 ,155 
,f. other,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,16 ,0 ,16 ,0 ,0 ,0 ,115 ,0 ,115 ,0 ,9 ,9 ,0 ,85 ,85 ,259 ,817 ,"1,076 ",0 ,0 ,0 ,0 ,480 ,480 ,0 ,0 ,0 ,391 ,"1,391 ","1,782 "
 4. GYN Procedures,a. hysterectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,28 ,0 ,1 ,1 ,0 ,0 ,0 ,3 ,3 ,6 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,31 ,9 ,40 
,b. other elective procedures,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,31 ,0 ,31 ,0 ,0 ,0 ,80 ,0 ,80 ,4 ,2 ,6 ,0 ,127 ,127 ,2 ,9 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,118 ,139 ,257 
 5.  Medical Referral/,a. dermatology,0 ,0 ,0 ,0 ,0 ,0 ,4 ,42 ,46 ,81 ,0 ,81 ,0 ,0 ,0 ,107 ,0 ,107 ,0 ,7 ,7 ,78 ,367 ,445 ,475 ,470 ,945 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,745 ,888 ,"1,633 "
      Procedures,b. neurology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,8 ,18 ,0 ,18 ,0 ,0 ,0 ,23 ,0 ,23 ,0 ,14 ,14 ,82 ,514 ,596 ,338 ,256 ,594 ,0 ,1 ,1 ,0 ,107 ,107 ,0 ,1 ,1 ,461 ,901 ,"1,362 "
,c. EEG/EMG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,10 ,0 ,10 ,0 ,1 ,1 ,5 ,91 ,96 ,107 ,49 ,156 ,0 ,2 ,2 ,0 ,21 ,21 ,0 ,0 ,0 ,125 ,164 ,289 
,d. internal medicine,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,13 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,3 ,3 ,0 ,66 ,66 ,0 ,139 ,139 ,0 ,0 ,0 ,0 ,318 ,318 ,0 ,0 ,0 ,14 ,526 ,540 
,e. nephrology/IVPs,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,23 ,0 ,0 ,0 ,50 ,0 ,50 ,0 ,2 ,2 ,91 ,252 ,343 ,317 ,903 ,"1,220 ",0 ,0 ,0 ,0 ,11 ,11 ,0 ,0 ,0 ,481 ,"1,168 ","1,649 "
,f. hematology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,10 ,10 ,6 ,196 ,202 ,103 ,81 ,184 ,0 ,0 ,0 ,0 ,232 ,232 ,0 ,0 ,0 ,112 ,519 ,631 
,g. oncology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,11 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,3 ,3 ,18 ,353 ,371 ,8 ,"3,478 ","3,486 ",0 ,1 ,1 ,0 ,8 ,8 ,0 ,0 ,0 ,38 ,"3,843 ","3,881 "
,h. GI/gastroscopy,0 ,0 ,0 ,0 ,0 ,0 ,1 ,7 ,8 ,41 ,0 ,41 ,0 ,0 ,0 ,113 ,0 ,113 ,1 ,15 ,16 ,59 ,335 ,394 ,222 ,"1,735 ","1,957 ",0 ,2 ,2 ,0 ,36 ,36 ,0 ,0 ,0 ,437 ,"2,130 ","2,567 "
,i. pulmonary,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22 ,22 ,22 ,0 ,22 ,0 ,0 ,0 ,59 ,0 ,59 ,0 ,6 ,6 ,9 ,216 ,225 ,289 ,504 ,793 ,0 ,2 ,2 ,0 ,4 ,4 ,0 ,0 ,0 ,379 ,754 ,"1,133 "
,j. CAT scans/nuclear med./MRI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,39 ,208 ,0 ,208 ,0 ,0 ,0 ,109 ,0 ,109 ,1 ,43 ,44 ,335 ,488 ,823 ,295 ,155 ,450 ,0 ,1 ,1 ,0 ,353 ,353 ,0 ,0 ,0 ,948 ,"1,079 ","2,027 "
,k. edocrinology,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,30 ,0 ,30 ,0 ,0 ,0 ,71 ,0 ,71 ,0 ,8 ,8 ,328 ,155 ,483 ,382 ,"1,106 ","1,488 ",0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,812 ,"1,270 ","2,082 "
,l. rheumatology,0 ,0 ,0 ,0 ,0 ,0 ,1 ,27 ,28 ,39 ,0 ,39 ,0 ,0 ,0 ,101 ,0 ,101 ,0 ,15 ,15 ,46 ,156 ,202 ,212 ,397 ,609 ,0 ,0 ,0 ,0 ,61 ,61 ,0 ,0 ,0 ,399 ,656 ,"1,055 "
,m. podiatry,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,24 ,10 ,34 ,0 ,0 ,0 ,57 ,0 ,57 ,1 ,4 ,5 ,15 ,114 ,129 ,26 ,"1,103 ","1,129 ",0 ,0 ,0 ,0 ,7 ,7 ,0 ,0 ,0 ,123 ,"1,241 ","1,364 "
,n. genetic counseling,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,5 ,25 ,30 ,27 ,5 ,32 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,36 ,31 ,67 
,o. other,0 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,23 ,138 ,0 ,138 ,0 ,0 ,0 ,170 ,0 ,170 ,257 ,695 ,952 ,0 ,"3,243 ","3,243 ","1,051 ","4,676 ","5,727 ",0 ,10 ,10 ,0 ,"1,050 ","1,050 ",0 ,0 ,0 ,"1,639 ","9,674 ","11,313 "
6. Ophthalmolgic ,a. cataract surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,25 ,17 ,0 ,17 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,98 ,42 ,140 ,391 ,52 ,443 ,0 ,1 ,1 ,0 ,13 ,13 ,0 ,0 ,0 ,512 ,133 ,645 
     Services,b. diabetic retinop./laser,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,3 ,36 ,39 ,62 ,1 ,63 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,37 ,103 
,c. pterygium excision,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,36 ,38 
,d. other ophthalmolgic,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,7 ,18 ,0 ,18 ,0 ,0 ,0 ,24 ,0 ,24 ,3 ,6 ,9 ,48 ,289 ,337 ,458 ,"1,594 ","2,052 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,551 ,"1,896 ","2,447 "
7. Orthopedic ,a. arthroscopy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,28 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,1 ,1 ,0 ,39 ,39 ,495 ,0 ,495 ,0 ,0 ,0 ,0 ,4 ,4 ,0 ,0 ,0 ,529 ,44 ,573 
    Procedures,b. tendon repair/carpal tunnel,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,9 ,155 ,0 ,155 ,0 ,0 ,0 ,17 ,0 ,17 ,0 ,1 ,1 ,5 ,61 ,66 ,28 ,9 ,37 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,205 ,80 ,285 
,c. other orthopedic,0 ,0 ,0 ,0 ,0 ,0 ,5 ,100 ,105 ,535 ,4 ,539 ,0 ,0 ,0 ,427 ,0 ,427 ,6 ,17 ,23 ,177 ,62 ,239 ,430 ,"3,665 ","4,095 ",0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,580 ","3,849 ","5,429 "
8. Prosthetics/,a. prosthetic devices V52,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,4 ,0 ,4 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,0 ,0 ,179 ,19 ,198 ,3 ,1 ,4 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,197 ,22 ,219 
    Orthotics,b. other devices,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,30 ,0 ,30 ,0 ,0 ,0 ,19 ,251 ,270 ,0 ,4 ,4 ,0 ,0 ,0 ,0 ,38 ,38 ,0 ,0 ,0 ,51 ,293 ,344 
,c. wheelchairs,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,0 ,0 ,29 ,58 ,87 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,14 ,0 ,0 ,0 ,39 ,72 ,111 
,d. other,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,27 ,0 ,27 ,0 ,0 ,0 ,23 ,0 ,23 ,50 ,0 ,50 ,308 ,0 ,308 ,20 ,523 ,543 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,434 ,523 ,957 
9. Psychiatric Eval.,,0 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,11 ,2 ,0 ,2 ,0 ,0 ,0 ,12 ,0 ,12 ,0 ,0 ,0 ,25 ,0 ,25 ,34 ,"1,088 ","1,122 ",0 ,0 ,0 ,0 ,259 ,259 ,0 ,0 ,0 ,83 ,"1,348 ","1,431 "
10. Surgical Referal,a. hemorrhoidectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,12 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,1 ,19 
      Procedures,b. cholecystectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,16 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,1 ,0 ,1 ,3 ,949 ,952 ,0 ,0 ,0 ,0 ,6 ,6 ,0 ,0 ,0 ,24 ,955 ,979 
,c. minor surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,4 ,41 ,0 ,41 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,2 ,2 ,0 ,29 ,29 ,6 ,814 ,820 ,0 ,0 ,0 ,0 ,54 ,54 ,0 ,0 ,0 ,48 ,903 ,951 
,d. circumcisions,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,2 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,23 ,0 ,0 ,0 ,0 ,16 ,16 ,0 ,0 ,0 ,28 ,18 ,46 
,c. colonoscopy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,55 ,0 ,55 ,0 ,0 ,0 ,51 ,0 ,51 ,1 ,24 ,25 ,3 ,46 ,49 ,140 ,0 ,140 ,0 ,0 ,0 ,0 ,45 ,45 ,0 ,0 ,0 ,250 ,116 ,366 
,d. hernia repair,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,39 ,0 ,39 ,0 ,0 ,0 ,10 ,0 ,10 ,1 ,0 ,1 ,0 ,0 ,0 ,21 ,16 ,37 ,0 ,0 ,0 ,0 ,9 ,9 ,0 ,0 ,0 ,71 ,27 ,98 
,e. urology/cystoscopy,0 ,0 ,0 ,0 ,0 ,0 ,2 ,4 ,6 ,15 ,0 ,15 ,0 ,0 ,0 ,74 ,0 ,74 ,2 ,4 ,6 ,58 ,328 ,386 ,535 ,975 ,"1,510 ",0 ,1 ,1 ,0 ,22 ,22 ,0 ,0 ,0 ,686 ,"1,334 ","2,020 "
,f. Other ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,6 ,15 ,"1,617 ",0 ,"1,617 ",0 ,0 ,0 ,57 ,0 ,57 ,1 ,0 ,1 ,0 ,117 ,117 ,223 ,"1,727 ","1,950 ",0 ,0 ,0 ,0 ,470 ,470 ,0 ,0 ,0 ,"1,907 ","2,320 ","4,227 "
TOTAL,,0 ,0 ,0 ,0 ,0 ,0 ,70 ,586 ,656 ,"3,788 ",18 ,"3,806 ",0 ,0 ,264 ,"1,984 ",0 ,"1,984 ",393 ,939 ,"1,332 ","3,181 ","8,526 ","11,707 ","8,094 ","30,642 ","38,736 ",0 ,340 ,340 ,239 ,"4,420 ","4,659 ","3,967 ","1,201 ","5,168 ","21,716 ","46,412 ","68,128 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,254,,,5286,,,318,,,1902,,,186,,,10198,,15817,25545,,,1623,,,4301,,,5851,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,652 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,191 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3B,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,Federal PRC Programs,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alaska,Albuquerque,Bemidji,Billing,California,Great Plains,Nashville,Navajo,Oklahoma,Phoenix,Portland,Tucson,,,,,,,,,,,,,,,,,,,,,,,,,,,
 l. Cardiac ,a. cardiac catheterization, -   , -   , -   , -   , -   , -   , 3 , 39 , 293 , -   , 5 , -   , 340 ,,,,,,,,,,,,,,,,,,,,,,,,,,
    Procedures,b. arteriogram, -   , -   , -   , -   , -   , 9 , 1 , -   , 84 , -   , 4 , -   , 98 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,c angioplasty, -   , -   , -   , -   , -   , -   , 1 , -   , 73 , -   , 2 , -   , 76 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. angiogram, -   , -   , -   , -   , -   , -   , 1 , -   , 100 , -   , 14 , -   , 115 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,"e. other (echo's, Holters)", -   , -   , 1 , 41 , -   , 77 , 16 , 63 ," 1,502 ", -   , 80 , -   ," 1,780 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,f. stress tests, -   , -   , -   , 12 , -   , 10 , 8 , 220 , 31 , 1 , 17 , -   , 299 ,,,,,,,,,,,,,,,,,,,,,,,,,,
(Great Plains)----->,g. Cardiology Consults, -   , -   , -   , -   , -   , 19 , -   , -   , -   , -   , -   , -   , 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 2. Dental ,a. orthodontics (braces), -   , -   , -   , 2 , -   , -   , 3 , 2 , 9 , 240 , 290 ," 2,101 "," 2,647 ",,,,,,,,,,,,,,,,,,,,,,,,,,
     Procedures,"b. prosthodontics-bridges,dentures", -   , -   , 4 , 6 , -   , -   , 2 , 763 ," 1,569 ", 42 , 36 ," 1,228 "," 3,650 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,c. endodontics (root canal), -   , -   , 2 , 33 , -   , -   , 4 , 80 , 2 , 15 , 47 ," 1,838 "," 2,021 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,d. periodontics (gum surgery), -   , -   , -   , 7 , -   , -   , -   , 4 , -   , -   , 248 , -   , 259 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. oral surgery, -   , -   , 1 , 285 , -   , 2 , 15 , 8 , 16 , 16 , 240 , -   , 583 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. other , -   , -   , 1 , 62 , -   , -   , 52 , 186 , 240 , 1 , 25 , -   , 567 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 3. ENT Services,a. non-acute otitis media, -   , -   , 10 , 31 , -   , -   , -   , 85 , 278 , -   , -   , -   , 404 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. tympanoplasties, -   , -   , -   , -   , -   , -   , 3 , 6 , 2 , -   , 1 , -   , 12 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
,c. tonsillectomy and adenoidectomy, -   , -   , -   , 16 , -   , 4 , -   , 4 , 79 , -   , 5 , -   , 108 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. septo-rhinoplasties, -   , -   , -   , 11 , -   , 1 , -   , 19 , 4 , -   , -   , -   , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. P E tubes, -   , -   , -   , -   , -   , -   , 1 , 2 , 150 , -   , 2 , -   , 155 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. other, -   , -   , 1 , 16 , -   , 115 , 9 , 85 ," 1,076 ", -   , 480 , -   ," 1,782 ",,,,,,,,,,,,,,,,,,,,,,,,,,
 4. GYN Procedures,a. hysterectomy, -   , -   , 3 , -   , -   , 28 , 1 , -   , 6 , -   , 2 , -   , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. other elective procedures, -   , -   , 2 , 31 , -   , 80 , 6 , 127 , 11 , -   , -   , -   , 257 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 5.  Medical Referral/,a. dermatology, -   , -   , 46 , 81 , -   , 107 , 7 , 445 , 945 , 1 , 1 , -   ," 1,633 ",, ,,,,,,,,,,,,,,,,,,,,,,,,
      Procedures,b. neurology, -   , -   , 8 , 18 , -   , 23 , 14 , 596 , 594 , 1 , 107 , 1 ," 1,362 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,c. EEG/EMG, -   , -   , -   , 3 , -   , 10 , 1 , 96 , 156 , 2 , 21 , -   , 289 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
,d. internal medicine, -   , -   , -   , 13 , -   , 1 , 3 , 66 , 139 , -   , 318 , -   , 540 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. nephrology/IVPs, -   , -   , -   , 23 , -   , 50 , 2 , 343 ," 1,220 ", -   , 11 , -   ," 1,649 ",,,,,,,,,,,,,,,,,,,,,,,,,,
