NAME,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CATEGORY:, SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,,
"10. Refractions, Glasses, Contact Lenses",0,0,0,0,0,0,2,0,2,0,0,0,0,192,192,4,0,4,0,12,12,"5,376",43,"5,419",2,1,3,0,0,0,0,836,836,0,0,0,"5,384","1,084","6,468",
11. Sexually Transmitted Disease Services,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,39,39,0,0,0,1,40,41,
12. Other (State Type Below),0,0,0,0,0,0,41,4,45,"2,234",0,"2,234",0,"1,284","1,284",177,0,177,78,18,96,2,0,2,3,"1,911","1,914",0,7,7,0,0,0,0,1,1,"2,535","3,225","5,760",
     TOTAL,0,0,0,0,0,0,47,132,179,"2,403",0,"2,403",0,"1,940","1,940",355,0,355,88,166,254,"7,437","1,158","8,595",120,"4,369","4,489",0,8,8,56,"1,479","1,535",0,1,1,"10,506","8,749","19,255",
,,,,,,,,,,,,,,,,,,,,,,3530,621,8058,,,,,,,,,,,,,,,,
,,,,,,,,,19,,,192,,,64,,,369,,,46,"3,907",,4054,,,8054,,,12,,,1139,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,2016,2015,,,,,,,,,,Preventive Deferrals,,,"19,255","19,759"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acute & Chronic Deferrals,,,"68,128","68,652"
,,,,,,,,,,,,,,,,,,,,,,Preventive Deferrals,,,"19,255","13,979",,"5,276",,,,,,,,Tertiary Deferrals,,,"16,903","16,903"
Categories,Federal PRC Programs (Area Offices),,,,,,,,,,,,,,,,,,,,,Acute & Chronic Deferrals,,,"68,128","55,464",,"12,664",,,,,,,,Total Deferrals:,,,"104,286","105,314"
,Alaska,Albuquerque,Bemidji,Billing,California,Great Plains,Nashville,Navajo,Oklahoma,Phoenix,Portland,Tucson,TOTAL,,,,,,,,,Tertiary Deferrals,,,"16,903",696,,"16,207",,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   , -   ,62,30, -   ,48,5,590,885, -   ,89, -   ,"1,709",,,,,,,,,Total Deferrals:,,,"104,286","70,139",,,,,,,,,,,,,,-15189
"2. Allergy Testing, Injections, etc.", -   , -   ,20,13, -   ,19,19,116,227,1,15, -   ,430,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,125"
3. Antenatal screening , -   , -   , -   ,20, -   , -   ,4,9, -   , -   ,22, -   ,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   ,6, -   ,215, -   ,247, -   ,468,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   ,1,8, -   ,3, -   , -   ,121, -   ,6, -   ,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   , -   ,5,8, -   ,3, -   , -   ,27, -   ,15, -   ,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Mammograms, -   , -   , -   ,50, -   ,2,81,302,7, -   ,71, -   ,513,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   ,20,11, -   ,15,1,710,"1,026", -   ,12, -   ,"1,795",,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Physical Therapy, -   , -   ,24,58, -   ,84,11,858,62, -   ,122, -   ,"1,219",,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Pap Smears, -   , -   , -   ,3, -   , -   ,19,52,1, -   ,61, -   ,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", -   , -   ,2, -   , -   ,4,12,"5,419",3, -   ,836, -   ,"6,276",,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   ,1, -   , -   , -   , -   ,1, -   ,39, -   ,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Other (State Type Below), -   , -   ,45,"2,234", -   ,177,96,2,"1,914",7, -   ,1,"4,476",,,,,,,,,,,,,,,,,,,,,,,,,,,
     TOTAL, -   , -   ,179,"2,436", -   ,355,254,"8,058","4,489",8,"1,535",1,"17,315",,, ,,,,,,,,,,,,,,,,,,,,,,,,
Other (Explanations): ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Plains Area (Federal) comments:,,,Navajo Area (Federal) comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  (b) (6) :  Osteoporosis Screening,,,Other (Explanations): speech delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (b) (6) :  Gynecology Consults (3);  Sleep Study (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque Area Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Antenatal screening , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Mammograms, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Physical Therapy, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Pap Smears, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Other (State Type Below), N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,,,, N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
     TOTAL, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , -   , -   , -   , -   , N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji Area Federal and Tribal PRC Deferrals - Preventive Services,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,,Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,(b) (6) ,Federal Sub Total,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,Tribal Sub Total,I.H.S. Offices TOTAL,,,,,,,,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,45, -   , -   , -   ,16,62,62,,,,,,,,,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14, -   , -   , -   ,6,20,20,,,,,,,,,,,,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,1,1,,,,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations,1, -   ,2,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,2,5,,,,,,,,,,,,,,,,,,,,,
6. Mammograms, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20, -   , -   , -   , -   ,20,20,,,,,,,,,,,,,,,,,,,,,
8. Physical Therapy, -   , -   ,1,1, -   , -   , -   , -   , -   , -   , -   , -   ,23, -   , -   , -   , -   ,23,24,,,,,,,,,,,,,,,,,,,,,
9. Pap Smears, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses",2, -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,,,,,,,,,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,
12. Other (State Type Below),39, -   ,2,41, -   , -   , -   , -   , -   , -   ,4, -   , -   , -   , -   , -   , -   ,4,45,,,,,,,,,,,,,,,,,,,,,
     TOTAL,42, -   ,5,47, -   , -   , -   , -   , -   , -   ,5, -   ,102, -   , -   , -   ,25,132,179,,,,,,,,,,,,,,,,,,,,,
Other (Explanations): ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Area Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billing Area Federal and Tribal PRC Deferrals - Preventive Services,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,,,,,,Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,Federal Sub Total,(b) (6) ,Tribal Sub Total,I.H.S. Offices TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids ,14,5,6, -   , -   ,3, -   ,28,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.",4, -   ,3,5, -   ,1, -   ,13, -   , -   ,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   ,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   ,1, -   , -   , -   ,1,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   ,1,1,2, -   , -   , -   ,4,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Mammograms, -   ,1, -   ,49, -   , -   , -   ,50, -   , -   ,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics,3, -   , -   ,8, -   , -   , -   ,11, -   , -   ,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Physical Therapy,9,1, -   ,35, -   ,12,1,58, -   , -   ,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Pap Smears, -   ,3, -   , -   , -   , -   , -   ,3, -   , -   ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   ,1, -   , -   , -   ,1, -   , -   ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Other (State Type Below),12,4,"2,190",4, -   ,24, -   ,"2,234", -   , -   ,"2,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     TOTAL,42,15,"2,200",105, -   ,40,1,"2,403",33,33,"2,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other (Explanations): ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Area No Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Area Federal and Tribal PRC Deferrals - Preventive Services,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,Federal Sub Total,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,Tribal Sub Total,I.H.S. Offices TOTAL,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   ,6,1, -   , -   ,9,9,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", -   , -   , -   , -   , -   , -   , -   ,1,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   ,3, -   , -   , -   ,8,8,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
6. Mammograms, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,230,6, -   , -   ,236,236,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,36,4, -   , -   ,40,40,,,,,,,,,,
8. Physical Therapy, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,18, -   , -   , -   ,145,6, -   , -   ,169,169,,,,,,,,,,
9. Pap Smears, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   ,1, -   , -   ,2,2,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,177,15, -   , -   ,192,192,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,
12. Other (State Type Below), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   ,"1,283", -   , -   , -   ,"1,284","1,284",,,,,,,,,,
     TOTAL, -   , -   ,, -   , -   , -   , -   ,1,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,21, -   , -   , -   ,"1,880",33, -   , -   ,"1,940","1,940",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Plains Area Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Plains Area Federal and Tribal PRC Deferrals - Preventive Services,FY 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Great Plains Area Indian Health Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,,,,,,,,,,Tribal PRC Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,Federal Sub Total,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,Tribal Sub Total,I.H.S. Offices TOTAL,,,,,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   ,26,3, -   , -   , -   ,11,1,7, -   , -   ,48, -   , -   , -   , -   , -   , -   , -   , -   , -   ,48,,,,,,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", -   ,5, -   , -   , -   ,4,5,2,1,2, -   ,19, -   , -   , -   , -   , -   , -   , -   , -   , -   ,19,,,,,,,,,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,,,,,,,,,,,,,,,,,,
