OPO_CTR_CD,OPO_CTR_TY,PROVIDER_NUM,PROVIDER_MBR_TY,ALU_ID,HOSPITAL_NAME,HOSPITAL_ZIP,TIME_ZONE,LONGITUDE,LATITUDE,ACTIVE_FLG,CHG_DT
AROR,OP1,40025,NMB,,CROSS CO HOSP,72396,2,-90.786268,35.219664,0,9/25/18
AROR,OP1,40026,NMB,,SVHS - St. Vincent's Hot Springs,71913,2,-93.06666,34.46783,1,9/25/18
AROR,OP1,40027,NMB,,BRMC-Baxter Regional Medical Center,72653,2,-92.39518,36.3429,1,9/25/18
AROR,OP1,40028,NMB,,MHBO-Mercy Hospital Booneville,72927,2,-93.93486776,35.14096606,1,9/25/18
AROR,OP1,40029,NMB,,CRMC-Conway Regional Medical Center,72032,2,-92.45910079,35.08491073,1,9/25/18
AROR,OP1,40032,NMB,,LRMH-Little River Memorial Hospital,71822,2,-94.13507,33.66926,1,9/25/18
AROR,OP1,40035,NMB,,FCHO-Fulton County Hospital,72576,2,-91.8105514,36.38362137,1,9/25/18
AROR,OP1,40036,NMB,,BMMC-Baptist Health Medical Center/North Little Rock,72117,2,-92.21825767,34.78337601,1,9/25/18
AROR,OP1,40041,NMB,,SMMC-Saint Marys Regional Medical Center,72801,2,-93.1496,35.28365,1,9/25/18
AROR,OP1,40047,NMB,,RCMC-Randolph County Medical Center,72455,2,-91.0388,36.3105,0,9/25/18
AROR,OP1,40048,NMB,,BATES MEM HOSP,72712,,-94.209338,36.375647,0,9/25/18
AROR,OP1,40050,NMB,,OCMC-Ouachita County Medical Center,71701,2,-92.834136,33.576445,1,9/25/18
AROR,OP1,40051,NMB,,DMHS-Drew Memorial Health System,71655,2,-91.81500399,33.61110594,1,6/4/20
AROR,OP1,40053,NMB,,DEMH-Delta Memorial Hospital,71639,2,-91.485143,33.865913,1,9/25/18
AROR,OP1,40054,NMB,,NEWPORT HOSP & CLINIC INC,72112,2,-91.1925,35.55396,0,9/25/18
AROR,OP1,40055,NMB,,BHFS-Baptist Health Medical Center/Ft. Smith,72901,2,-94.42127915,35.37434176,1,11/12/18
AROR,OP1,40058,NMB,,TURNER MEMORIAL HOSPITAL,72949,,-93.83857,35.490486,0,9/25/18
AROR,OP1,40062,NMB,,MHFS-Mercy Hospital Fort Smith,72903,2,-94.35294,35.35379,1,9/25/18
AROR,OP1,40063,NMB,,ST MICHAEL HOSPITAL,75503,,-94.07569,33.46236,0,9/25/18
AROR,OP1,40064,NMB,,DHNH-Dewitt Nursing Home and Hospital,72042,2,-91.33059,34.28411,1,2/19/19
AROR,OP1,40066,NMB,,BMAR-Baptist Health Medical Center/Arkadelphia,71923,2,-93.08849,34.12318,1,9/25/18
AROR,OP1,40067,NMB,,MRMC-Magnolia Regional Medical Center,71753,2,-93.23913,33.27474,1,9/25/18
AROR,OP1,40071,NMB,,JRMC-Jefferson Regional Medical Center,71603,2,-92.01846,34.18754,1,9/25/18
AROR,OP1,40072,NMB,,BHMS-Baptist Health Medical Center-Stuttgart,72160,2,-91.55932,34.51764,1,9/25/18
AROR,OP1,40074,NMB,,NMMC-North Metro Medical Center,72076,2,-92.12484,34.87358,0,12/19/19
AROR,OP1,40075,NMB,,GRAVETTE MEDICAL CENTER HOSP,72736,2,-94.447295,36.42222,0,9/25/18
AROR,OP1,40076,NMB,,BHSC-Baptist Health Medical Center-Hot Spring County,72104,2,-92.78565054,34.36005081,1,9/25/18
AROR,OP1,40077,NMB,,BCMC-Bradley County Medical Center,71671,2,-92.05874027,33.61066812,1,9/25/18
AROR,OP1,40078,NMB,,NPMC-National Park Medical Center,71901,2,-93.03521,34.486,1,9/25/18
AROR,OP1,40080,NMB,,UHHM-Unity Health Harris Medical Center,72112,2,-91.26475,35.60858,1,9/25/18
AROR,OP1,40084,NMB,,SAMH-Saline Memorial Hospital,72015,2,-92.58526,34.57292,1,9/25/18
AROR,OP1,40088,N01,,MCSA-Medical Center of South Arkansas,71730,2,-92.665937,33.218475,1,9/25/18
AROR,OP1,40091,NMB,,WMCH-Wadley Regional Medical Center at Hope,71801,2,-93.586895,33.6491,1,9/25/18
AROR,OP1,40095,NMB,,SOUTHWEST MEDICAL CENTER,71857,,-93.377033,33.802675,0,9/25/18
AROR,OP1,40098,NMB,,UNION MEDICAL CENTER,71730,2,-92.664791,33.214492,0,9/25/18
AROR,OP1,40100,NMB,,UHWC-Unity Health White County Medical Center,72143,2,-91.69456285,35.25046208,1,9/25/18
AROR,OP1,40105,NMB,,CMMC-Chicot Memorial Medical Center,71653,2,-91.29121889,33.30636455,1,9/25/18
AROR,OP1,40106,NMB,,BMHS-Baptist Health Medical Center/Heber Springs,72543,2,-92.000295,35.481233,1,9/25/18
AROR,OP1,40107,NMB,,DQMC-DeQueen Medical Center,71832,2,-94.35311,34.047516,0,1/2/20
AROR,OP1,04010F,NMB,,VALR-Veterans Healthcare/Little Rock,72205,2,-92.32190834,34.74500188,1,9/25/18
AROR,OP1,04010F,VA1,,VA MED CTR ESRD - LITTLE ROCK,72205,,-92.345672,34.751922,0,9/25/18
AROR,OP1,40114,TX1,,ARBH-Baptist Health Medical Center/Little Rock,72205,2,-92.38364,34.74681,1,9/25/18
AROR,OP1,40116,NMB,,DOCTORS HOSP,72205,,-92.345672,34.751922,0,9/25/18
AROR,OP1,40117,TX1,,ARCH-Arkansas Children's Hospital,72202,2,-92.291917,34.741219,1,9/25/18
