CTR_CD,CTR_TY,REGION,NAME_PART1,NAME_PART2,ENTIRE_NAME,PRIMARY_CITY,PRIMARY_STATE,PRIMARY_ZIP,PROVIDER_NUM,PRIMARY_PROVINCE,PRIMARY_CTRY,OPTN_MBR,ESRD_REGION,CTR_ID
ARUA,VA1: Veteran's Hospital,3,John L. McClellan VA Hospital,,John L. McClellan Veterans Administration Hospital,Little Rock,AR,72205,04010F,,USA,0,,13
AZGC,TT1: Independent Lab,5,Donor Network of AZ Immunogenetics,,Donor Network of Arizona Immunogenetics Laboratory,Tempe,AZ,85281,03HL02,,USA,1,,14
AZGS,IO1: Hospital Based OPO,5,Good Samaritan Reg Med Ctr OPO,,Good Samaritan Regional Medical Center OPO,Phoenix,AZ,85006,30002,,USA,0,,15
AZGS,TX1: Transplant Hospital,5,Banner- University Medical Center,,Banner-University Medical Center Phoenix,Phoenix,AZ,85006,30002,,USA,1,15,16
AZHH,TX1: Transplant Hospital,5,Phoenix Regional Medical Center,,Phoenix Regional Medical Center,Phoenix,AZ,85016,30008,,USA,0,15,17
AZMC,TX1: Transplant Hospital,5,Mayo Clinic Hospital Arizona,,Mayo Clinic Hospital Arizona,Phoenix,AZ,85054-4582,30103,,USA,1,15,18
AZOB,OP1: Independent OPO,5,Donor Network of Arizona,,Donor Network of Arizona,Tempe,AZ,85281,03P001,,USA,1,,19
AZSJ,TX1: Transplant Hospital,5,St Joseph's Hospital & Medical Center,,St. Joseph's Hospital and Medical Center,Phoenix,AZ,85013,30024,,USA,1,15,20
AZSM,TX1: Transplant Hospital,5,Scottsdale Healthcare Osborn,formerly Scottsdale Memorial Hospital,Scottsdale Healthcare Osborn,Scottsdale,AZ,85251-6403,30038,,USA,0,15,21
AZTL,TT1: Independent Lab,5,Blood Systems Laboratories,HLA Laboratory,Vitalant,Phoenix,AZ,85013,03HL63,,USA,1,,22
AZTV,TX1: Transplant Hospital,5,Veterans Admin Med Ctr Tucson,,Veterans Administration Medical Center Tucson,Tucson,AZ,85723,03013F,,USA,0,15,23
AZUA,IT1: Hospital Based Lab,5,Clinical HLA Laboratory,Banner University Medical Center,Banner University Medical Center- Clinical HLA Laboratory,Tucson,AZ,85719,30064,,USA,1,,24
AZUA,TX1: Transplant Hospital,5,Banner University Medical Center,Tucson,Banner University Medical Center-Tucson,Tucson,AZ,85724,30064,,USA,1,15,25
CABE,TX1: Transplant Hospital,5,St Bernardine Med Center,,Saint Bernardine Medical Center,San Bernardino,CA,92404,50129,,USA,0,18,26
CABH,TX1: Transplant Hospital,5,Alta Bates Med Ctr,,Alta Bates Medical Center,Berkeley,CA,94705,50305,,USA,0,17,27
CABM,TX1: Transplant Hospital,5,Summit Med Ctr,,Summit Medical Center,Oakland,CA,94609,50043,,USA,0,17,28
CACH,TX1: Transplant Hospital,5,Rady Children's Hosp & Health Center,,Rady Children's Hospital and Health Center,San Diego,CA,92123-4282,53303,,USA,1,18,29
CACL,IT1: Hospital Based Lab,5,HLA Lab Childrens Hosp Los Angeles,,HLA Laboratory at Childrens Hospital Los Angeles,Los Angeles,CA,90027,53302,,USA,1,,30
CACL,TX1: Transplant Hospital,5,Childrens Hospital Los Angeles,,Childrens Hospital Los Angeles,Los Angeles,CA,90027,53302,,USA,1,18,31
CACS,IT1: Hospital Based Lab,5,Transplantation & Immunogenetics Lab,Medical Genetics HLA Lab,Cedars-Sinai Transplantation and Immunogenetics Laboratory,Los Angeles,CA,90048-1869,50625,,USA,1,,32
CACS,TX1: Transplant Hospital,5,Cedars-Sinai Med Center,,Cedars-Sinai Medical Center,Los Angeles,CA,90048,50625,,USA,1,18,33
CADN,OP1: Independent OPO,5,Donor Network West,,Donor Network West,San Ramon,CA,94583,05P005,,USA,1,,34
CAEC,TX1: Transplant Hospital,5,El Camino Hosp,,El Camino Hospital,Mountain View,CA,94040,50308,,USA,0,17,35
CAEM,TX1: Transplant Hospital,5,Eisenhower Mem Hosp,,Eisenhower Memorial Hospital,Rancho Mirage,CA,92270,50573,,USA,0,18,36
CAGH,TX1: Transplant Hospital,5,Scripps Green Hospital,,Scripps Green Hospital,La Jolla,CA,92037,50424,,USA,1,18,37
CAGS,OP1: Independent OPO,5,Sierra Donor Services,,Sierra Donor Services,West Sacramento,CA,95691,05P004,,USA,1,,38
CAIL,TT1: Independent Lab,5,Irvine HLA Tissue Typing Lab,Univ. of California,"University of California, Irvine HLA Tissue Typing Laboratory",Orange,CA,92868,,,USA,1,,39
CAIM,IT1: Hospital Based Lab,5,UCI Med Ctr Lab,,University of California Irvine Medical Center Lab,Orange,CA,92868,50348,,USA,0,,40
CAIM,TX1: Transplant Hospital,5,UCI Medical Center,,University of California Irvine Medical Center,Orange,CA,92868,50348,,USA,1,18,41
CAKF,TX1: Transplant Hospital,5,Kaiser Permanente Hospital,,Kaiser Permanente Hospital,Los Angeles,CA,90027,50138,,USA,0,18,42
CAKO,TX1: Transplant Hospital,5,Kaiser Permanente Hosp Oakland,,Kaiser Permanente Hospital Oakland,Oakland,CA,94611,50075,,USA,0,17,43
CALA,TX1: Transplant Hospital,5,Harbor UCLA Med Center,,Harbor UCLA Medical Center,Torrance,CA,90502,50376,,USA,1,18,44
CALB,TX1: Transplant Hospital,5,St Mary Medical Center,,St Mary Medical Center,Long Beach,CA,90813-3321,50191,,USA,0,18,45
CALL,IT1: Hospital Based Lab,5,Histo & Flow Cytometry Lab,Loma Linda Univ. Hospital,Histocompatibility and Flow Cytometry Laboratories at Loma Linda University,Loma Linda,CA,92354,50327,,USA,1,,46
CALL,TX1: Transplant Hospital,5,Loma Linda Univ Med Ctr,,Loma Linda University Medical Center,Loma Linda,CA,92354,50327,,USA,1,18,47
CAMC,TX1: Transplant Hospital,5,Mercy Hosp and Med Ctr,,Mercy Hospital and Medical Center,San Diego,CA,92103-2180,,,USA,0,18,48
CAMH,TX1: Transplant Hospital,5,Santa Rosa Memorial Hosp,,Santa Rosa Memorial Hospital,Santa Rosa,CA,95402,50174,,USA,0,17,49
CAML,TT1: Independent Lab,5,METIC Transplantation Lab,,METIC Transplantation Laboratory,Pasadena,CA,91106-1961,05HL05,,USA,1,,50
CAMT,TT1: Independent Lab,5,"METIC Immunogenetics Consultants, Inc",,"METIC Immunogenetics Consultants, Inc",Pasadena,CA,91106,558632,,USA,1,,51
CAOP,OP1: Independent OPO,5,OneLegacy,,OneLegacy,Los Angeles,CA,90012,05P003,,USA,1,,52
CAPC,TX1: Transplant Hospital,5,Lucile Salter Packard Children's Hosp,,Lucile Salter Packard Children's Hospital at Stanford,Palo Alto,CA,94304,53305,,USA,1,17,53
CAPM,IT1: Hospital Based Lab,5,Tissue Typing Lab at CPMC,California Pacific Med Ctr,Tissue Typing Laboratory at California Pacific Med Ctr,San Francisco,CA,94115,50047,,USA,1,,54
CAPM,TX1: Transplant Hospital,5,California Pacific Med Ctr,,California Pacific Medical Center-Van Ness Campus,San Francisco,CA,94109,50047,,USA,1,17,55
CARC,TX1: Transplant Hospital,5,Riverside Community Hosp,,Riverside Community Hospital,Riverside,CA,92501,50022,,USA,1,18,56
CARO,OP1: Independent OPO,5,Reg OPA of Southern CA,,Regional Organ Procurement Agency of Southern California,Los Angeles,CA,90064-1824,05P002,,USA,0,,57
CARZ,TX1: Transplant Hospital,5,Hoag Mem Hosp Presbyterian,,Hoag Memorial Hospital Presbyterian,Newport Beach,CA,92658-6100,50224,,USA,0,18,58
CASB,TX1: Transplant Hospital,5,Arrowhead Reg. Med. Ctr.,Formerly San Bernardino Co. Med Ctr,Arrowhead Regional Medical Center,Colton,CA,92324-1819,50245,,USA,0,18,59
CASC,TX1: Transplant Hospital,5,Univ of Southern CA Med Ctr,Los Angeles County,Los Angeles County University of Southern California Medical Center,Los Angeles,CA,90033,50373,,USA,0,18,60
CASD,IO1: Hospital Based OPO,5,Lifesharing - A Donate Life Org.,,Lifesharing - A Donate Life Organization,San Diego,CA,92108,05P001,,USA,1,,61
CASD,IT1: Hospital Based Lab,5,Histo and Immunogenetics Lab,UCSD,Histocompatibility and Immunogenetics Laboratory at UCSD,San Diego,CA,92121,50025,,USA,1,,62
CASD,TX1: Transplant Hospital,5,UCSD Medical Center,,University of California San Diego Medical Center,La Jolla,CA,92037,50025,,USA,1,18,63
CASF,TX1: Transplant Hospital,5,Univ of CA San Francisco Med Ctr,Moffitt 884,University of California San Francisco Medical Center,San Francisco,CA,94143,50454,,USA,1,17,64
CASG,TX1: Transplant Hospital,5,Sutter Medical Center Sacramento,,Sutter Medical Center Sacramento,Sacramento,CA,95816,50108,,USA,1,17,65
CASH,IT1: Hospital Based Lab,5,Histo Lab at Sharp Memorial Hospital,,Histocompatibility Laboratory at Sharp Memorial Hospital,San Diego,CA,92123,50100,,USA,1,,66
CASH,TX1: Transplant Hospital,5,Sharp Memorial Hospital,,Sharp Memorial Hospital,San Diego,CA,92123-2788,50100,,USA,1,18,67
CASJ,TX1: Transplant Hospital,5,St Joseph Hospital,,Saint Joseph Hospital,Orange,CA,92868,50069,,USA,1,18,68
CASM,TX1: Transplant Hospital,5,UC Davis Medical Center,,University of California Davis Medical Center,Sacramento,CA,95817-2201,50599,,USA,1,17,69
CAST,TT1: Independent Lab,5,Blood Systems Inc ( BloodSource ),,"Vitalant HLA Laboratory, Northern California",Mather,CA,95655-4128,05HL04,,USA,1,,70
CASU,IT1: Hospital Based Lab,5,Stanford Blood Center,Histocompatibility Lab-Hillview,"Stanford Blood Center, Histocompatibility Lab-Hillview",Palo Alto,CA,94304-1204,50441,,USA,1,,71
CASU,TX1: Transplant Hospital,5,Stanford Health Care,,Stanford Health Care,Stanford,CA,94305,50441,,USA,1,17,72
CASV,TX1: Transplant Hospital,5,St. Vincent Medical Center,,St. Vincent Medical Center,Los Angeles,CA,90057,50502,,USA,0,18,73
CATB,OP1: Independent OPO,5,N. CA Transplant Bank,,Northern California Transplant Bank,San Francisco,CA,99999,,,USA,0,,74
CATL,TT1: Independent Lab,5,UCLA Immunogenetics Center,,"University of California at Los Angeles, Immunogenetics Center",Los Angeles,CA,90095-1652,05HL03,,USA,1,,75
CATO,OP1: Independent OPO,5,"TX Foundation of America, San Diego",,"Transplant Foundation of America, San Diego",San Diego,CA,99999,,,USA,0,,76
CAUC,IT1: Hospital Based Lab,5,UCLA  Histo Lab,,UCLA Histocompatibility Laboratory,Los Angeles,CA,90095,50262,,USA,0,,77
CAUC,TX1: Transplant Hospital,5,UCLA Medical Center,,University of California at Los Angeles Medical Center,Los Angeles,CA,90095,50262,,USA,1,18,78
CAUH,TX1: Transplant Hospital,5,Keck Hospital of USC,,Keck Hospital of USC,Los Angeles,CA,90033-4612,50696,,USA,1,18,79
CAUS,TT1: Independent Lab,5,UCSF Immunogenetics and Tx Lab,,UCSF Immunogenetics and Transplantation Laboratory,San Francisco,CA,94114,50454,,USA,1,,80
CAWM,TX1: Transplant Hospital,5,Western Medical Center,,Western Medical Center,Santa Ana,CA,92705-3577,50065,,USA,0,18,81
COCH,TX1: Transplant Hospital,8,Children's Hospital Colorado,,Children's Hospital Colorado,Aurora,CO,80045,63301,,USA,1,15,82
COHL,TT1: Independent Lab,8,ClinImmune Labs,,ClinImmune Labs,Aurora,CO,80010,64361,,USA,1,,83
COIA,TT1: Independent Lab,8,Eurofins (Colorado),Donor & Product Testing,Eurofins Donor & Product Testing (Colorado),Centennial,CO,80012,06HL01,,USA,1,,84
COMH,TX1: Transplant Hospital,8,Memorial Hosp,,Memorial Hospital,Colorado Springs,CO,80909-5599,60022,,USA,0,15,85
COPM,TX1: Transplant Hospital,8,Centura Transplant,,Centura Transplant,Denver,CO,80210,60064,,USA,1,15,86
COPV,TX1: Transplant Hospital,8,Poudre Valley Hosp,,Poudre Valley Hospital,Fort Collins,CO,80524,61010,,USA,0,15,87
CORS,OP1: Independent OPO,8,Donor Alliance,,Donor Alliance,Denver,CO,80230,06P001,,USA,1,,88
COSL,TX1: Transplant Hospital,8,Presbyterian/ St Luke's Medical Ctr.,,Presbyterian/St Luke's Medical Center,Denver,CO,80218,60014,,USA,1,15,89
COUC,IT1: Hospital Based Lab,8,Clinical Immunology Lab,,Univ of CO Clinical Immunology Laboratory,Aurora,CO,80045,,,USA,0,,90
COUC,TX1: Transplant Hospital,8,University of Colorado Hospital/HSC,Anschutz Outpatient Pavilion,University of Colorado Hospital/Health Science Center,Aurora,CO,80045,60024,,USA,1,15,91
CTHH,IO1: Hospital Based OPO,1,LifeChoice Donor Services,formerly Northeast OPO & Tissue Bank,LifeChoice Donor Service (NorthEast OPO),Hartford,CT,6102,07P001,,USA,0,,92
CTHH,IT1: Hospital Based Lab,1,Transplant Histo Lab,,Hartford Hospital Transplant Immunology Laboratory,Hartford,CT,06102-5037,70025,,USA,1,,93
CTHH,TX1: Transplant Hospital,1,Hartford Hospital,,Hartford Hospital,Hartford,CT,06102-5037,70025,,USA,1,1,94
CTYN,IT1: Hospital Based Lab,1,Histo and Immune Eval Lab,Yale-New Haven Medical Center,Histocompatibility and Immune Evaluation Laboratory at Yale,New Haven,CT,06520-8062,70022,,USA,1,,95
CTYN,TX1: Transplant Hospital,1,Yale New Haven Hosp,,Yale New Haven Hospital,New Haven,CT,6510,70022,,USA,1,1,96
DCCH,TX1: Transplant Hospital,2,Children's National Medical Ctr,,Children's National Medical Center,Washington,DC,20010-2970,93300,,USA,1,5,97
DCGU,IT1: Hospital Based Lab,2,Histo Lab at Georgetown University,,Histocompatibility Laboratory at Georgetown University,Washington,DC,20007,90004,,USA,1,,99
DCGU,TX1: Transplant Hospital,2,Medstar Georgetown Transplant Institu,,Medstar Georgetown Transplant Institute,Washington,DC,20007,90004,,USA,1,5,100
DCGW,IT1: Hospital Based Lab,2,Histo Lab at GW,,Histocompatibility Clinical Immunology Lab at George Washington Univ,Washington,DC,20037,90001,,USA,0,,101
DCGW,TX1: Transplant Hospital,2,George Washington University Hospital,,George Washington University Hospital,Washington,DC,20037,90001,,USA,1,5,102
DCHU,TX1: Transplant Hospital,2,Howard University Hospital,,Howard University Hospital,Washington,DC,20060,90003,,USA,0,5,103
DCIL,TT1: Independent Lab,2,MedStar Research Institute,Transplant and Immunogenetics Lab,MedStar Research Institute Transplant and Immunogenetics Laboratory,Hyattsville,MD,20782,09HL01,,USA,0,,104
DCPH,TX1: Transplant Hospital,2,Providence Hosp,,Providence Hospital,Washington,DC,20017,90006,,USA,0,5,105
DCTC,OP1: Independent OPO,2,Washington Reg Transplant Community,,Washington Regional Transplant Community,Falls Church,VA,22042,49P003,,USA,1,,106
DCTL,TT1: Independent Lab,2,Histo and Immunogenetics Lab,Howard Univ Hospital,Histocompatibility and Immunogenetics Lab at Howard University Hospital,Washington,DC,20060-0001,09HL02,,USA,0,,107
DCWH,TX1: Transplant Hospital,2,Washington Hospital Center,,Washington Hospital Center,Washington,DC,20010,90011,,USA,1,5,108
DCWR,IT1: Hospital Based Lab,2,Transplant Immunology Laboratory,Walter Reed National Military Med Ctr,Transplant Immunology Lab at Walter Reed National Medical Center - Bethesda,Bethesda,MD,20889,09003F,,USA,1,,109
DCWR,TX1: Transplant Hospital,2,Walter Reed National Military,Medical Center at Bethesda,Walter Reed National Military Medical Center at Bethesda,Bethesda,MD,20889,09003F,,USA,1,5,110
DEAI,TX1: Transplant Hospital,2,Alfred I duPont Hospital for Children,,Alfred I duPont Hospital for Children,Wilmington,DE,19803,83300,,USA,1,5,111
FLAC,TX1: Transplant Hospital,3,John Hopkins All Children's Hospital,,Johns Hopkins All Children's Hospital,St. Petersburg,FL,33701,103300,,USA,1,7,112
FLBF,TX1: Transplant Hospital,3,Bert Fish Medical Center,,Bert Fish Medical Center,New Smyrna Beach,FL,32168,100014,,USA,0,7,113
FLCC,TX1: Transplant Hospital,3,Cleveland Clinic Florida Weston,,Cleveland Clinic Florida Weston,Weston,FL,33331,100289,,USA,1,7,114
FLFH,IO1: Hospital Based OPO,3,OurLegacy,,OurLegacy,Maitland,FL,32751,10P003,,USA,1,,115
FLFH,IT1: Hospital Based Lab,3,Tissue Typing Lab at Florida Hospital,,Tissue Typing Laboratory at Florida Hospital,Orlando,FL,32803-1273,100007,,USA,1,,116
FLFH,TX1: Transplant Hospital,3,Florida Hospital Medical Center,,AdventHealth Orlando,Orlando,FL,32803,100007,,USA,1,7,117
FLFR,TX1: Transplant Hospital,3,Gulf Coast Medical Center,,Gulf Coast Medical Center,Ft Myers,FL,33912,100220,,USA,0,7,118
FLJM,TX1: Transplant Hospital,3,Jackson Memorial Hospital,,Jackson Memorial Hospital University of Miami School of Medicine,Miami,FL,33136,100022,,USA,1,7,119
FLJT,IT1: Hospital Based Lab,3,Transplantation and Cellular Immunolo,Shands Jacksonville,Lab for Transplantation and Cellular Immunology at Shands Jacksonville,Jacksonville,FL,32209,100170,,USA,0,,120
FLJT,TX1: Transplant Hospital,3,Shands Jacksonville,,Shands Jacksonville,Jacksonville,FL,32209,100170,,USA,0,7,121
FLMC,TX1: Transplant Hospital,3,Miami Childrens Hosp,,Miami Childrens Hospital,Miami,FL,33155,103301,,USA,0,7,122
FLML,TT1: Independent Lab,3,Univ of Miami Histo Lab,,University of Miami Jackson Memorial Hospital Histocompatibility Testing,Miami,FL,33101,10HL02,,USA,1,,123
FLMP,OP1: Independent OPO,3,Life Alliance Organ Recovery Agency,,Life Alliance Organ Recovery Agency,Miami,FL,33136,10P002,,USA,1,,124
FLSF,TT1: Independent Lab,3,LifeLink Transplant Immunology Lab,"LifeLink Foundation, Inc.",LifeLink Transplantation Immunology Laboratory,Tampa,FL,33619,10HL01,,USA,1,,125
FLSJ,TX1: Transplant Hospital,3,St Josephs Hosp,,St Josephs Hospital,Tampa,FL,33677-4227,100075,,USA,0,7,126
FLSL,IT1: Hospital Based Lab,3,HLA Lab Mayo Clinic Florida,,HLA Laboratory at Mayo Clinic Florida,Jacksonville,FL,32224,100151,,USA,1,,127
FLSL,TX1: Transplant Hospital,3,Mayo Clinic Hospital Florida,,Mayo Clinic Hospital Florida,Jacksonville,FL,32224,100151,,USA,1,7,128
FLSW,OP1: Independent OPO,3,LifeLink of Southwest Florida,,LifeLink of Southwest Florida,Fort Myers,FL,33907-3631,10P005,,USA,0,,129
FLTG,IT1: Hospital Based Lab,3,Tampa General Hosp Lab,,Tampa General Hospital Lab,Tampa,FL,33601,100128,,USA,0,,130
FLTG,TX1: Transplant Hospital,3,Tampa General Hospital,,Tampa General Hospital,Tampa,FL,33606,100128,,USA,1,7,131
FLTO,IT1: Hospital Based Lab,3,Southeastern Comm Blood Ctr,,Southeastern Community Blood Center,Tallahassee,FL,32308,100135,,USA,0,,132
FLTO,TX1: Transplant Hospital,3,Tallahassee Memorial Hospital,,Tallahassee Memorial Hospital,Tallahassee,FL,32308,100135,,USA,0,7,133
FLUF,IO1: Hospital Based OPO,3,LifeQuest Organ Recovery Services,,LifeQuest Organ Recovery Services,Gainesville,FL,32606,10P004,,USA,1,,134
FLUF,IT1: Hospital Based Lab,3,Immunology Transplantation Lab,Shands Medical Lab at Rocky Point,Immunology Transplantation Laboratory/ Shands Hospital,Gainesville,FL,32608,100113,,USA,1,,135
FLUF,TX1: Transplant Hospital,3,UF Health Shands Hospital,,UF Health Shands Hospital,Gainesville,FL,32610,100113,,USA,1,7,136
FLUM,TX1: Transplant Hospital,3,University Medical Center,,University Medical Center,Jacksonville,FL,32209-6511,100001,,USA,0,7,137
FLWC,OP1: Independent OPO,3,LifeLink of Florida,,LifeLink of Florida,Tampa,FL,33619,10P001,,USA,1,,138
GAEH,TX1: Transplant Hospital,3,Children's Healthcare of Atlanta,at Egleston,Children's Healthcare of Atlanta at Egleston,Atlanta,GA,30322-1062,113300,,USA,1,6,139
GAEM,IT1: Hospital Based Lab,3,HLA Lab at Emory University Hospital,,HLA Laboratory at Emory University,Atlanta,GA,30322,110010,,USA,1,,140
GAEM,TX1: Transplant Hospital,3,Emory University Hospital,,Emory University Hospital,Atlanta,GA,30322-1064,110010,,USA,1,6,141
GAGM,TX1: Transplant Hospital,3,Grady Memorial Hospital,,Grady Memorial Hospital,Atlanta,GA,30303,110079,,USA,0,6,142
GALL,OP1: Independent OPO,3,LifeLink of Georgia,,LifeLink of Georgia,Norcross,GA,30071,11P002,,USA,1,,143
GAMC,IO1: Hospital Based OPO,3,Organ and Tissue Donor Svcs,,Organ and Tissue Donor Services at Med College of GA,Augusta,GA,30912-7700,,,USA,0,,144
GAMC,IT1: Hospital Based Lab,3,Histo Immunology Lab,,Histocompatibility Immunology Laboratory at the Medical College of Georgia,Augusta,GA,30912-4091,110034,,USA,1,,145
GAMC,TX1: Transplant Hospital,3,"AU Medical Center, Inc.",,"AU Medical Center, Inc.",Augusta,GA,30912-7700,110034,,USA,1,6,146
GAPH,TX1: Transplant Hospital,3,Piedmont Hospital,,Piedmont Hospital,Atlanta,GA,30309,110083,,USA,1,6,147
GASJ,IT1: Hospital Based Lab,3,Histocompatibility Lab at St Josephs,,Histocompatibility Laboratory at St Josephs,Atlanta,GA,30342-1701,110082,,USA,0,,148
GASJ,TX1: Transplant Hospital,3,St. Joseph's Hosp of Atlanta,,Saint Joseph's Hospital of Atlanta,Atlanta,GA,30342-1764,110082,,USA,0,6,149
GAUH,TX1: Transplant Hospital,3,University Hospital,Georgia Heart Institute,University Hospital,Augusta,GA,30901,110028,,USA,0,6,150
HIOP,OP1: Independent OPO,6,Legacy of Life Hawaii,,Legacy of Life Hawaii,Honolulu,HI,96817,12P001,,USA,1,,157
HISF,IT1: Hospital Based Lab,6,Clinical Labs of HI,,Clinical Laboratories of Hawaii,Honolulu,HI,96820,12HL01,,USA,0,,158
HISF,TX1: Transplant Hospital,6,Hawaii Medical Center East,,Hawaii Medical Center East,Honolulu,HI,96820,120010,,USA,0,17,159
HITL,TT1: Independent Lab,6,Eurofins (Hawaii),Donor & Product Testing,Eurofins Donor & Product Testing (Hawaii),Honolulu,HI,96817,12HL01,,USA,1,,160
IAIM,IT1: Hospital Based Lab,8,Histo Lab at Iowa Methodist Med Ctr,,Histocompatibility Laboratory at Iowa Methodist Medical Center,Des Moines,IA,50309,160082,,USA,0,,161
IAIM,TX1: Transplant Hospital,8,Iowa Methodist Medical Center,,Iowa Methodist Medical Center,Des Moines,IA,50309-1453,160082,,USA,1,12,162
IAIV,IO1: Hospital Based OPO,8,Iowa Statewide OPO,,Iowa Statewide Organ Procurement Organization,Iowa City,IA,52242,,,USA,0,,163
IAIV,IT1: Hospital Based Lab,8,Iowa Regional Histo & Immuno Lab,V.A. Medical Center,Iowa Regional Histo & Immunogenetics Laboratory at the V.A. Medical Center,Iowa City,IA,52246,16004F,,USA,1,,164
IAIV,TX1: Transplant Hospital,8,The University of Iowa Hospitals and,Clinics Transplant Programs,University of Iowa Hospitals and Clinics Transplant Programs,Iowa City,IA,52242-1084,160058,,USA,1,12,165
IAIV,VA1: Veteran's Hospital,8,Iowa City VA Medical Center,,Iowa City VA Medical Center,Iowa City,IA,52246,16004F,,USA,0,,166
IAMH,IT1: Hospital Based Lab,8,Histo Lab at Mercy Hosp Med Ctr,,Histocompatibility Laboratory at Mercy Hospital Medical Center,Des Moines,IA,50314,160083,,USA,1,,167
IAMH,TX1: Transplant Hospital,8,MercyOne Des Moines Transplant Center,MercyOne Des Moines Transplant Center,MercyOne Des Moines Transplant Center,Des Moines,IA,50314-3190,160083,,USA,0,12,168
IAOP,OP1: Independent OPO,8,Iowa Donor Network,,Iowa Donor Network,North Liberty,IA,52317,16P001,,USA,1,,169
IAOR,OP1: Independent OPO,8,Iowa Organ Retrieval System,,Iowa Organ Retrieval System,Des Moines,IA,99999,,,USA,0,,170
ILCH,TX1: Transplant Hospital,7,Advocate Christ Medical Center,,Advocate Christ Medical Center,Oak Lawn,IL,60453,140208,,USA,1,10,171
ILCL,OP1: Independent OPO,7,Central IL Organ Donation Prg,,Central Illinois Organ Donation Program,Peoria,IL,99999,,,USA,0,,172
ILCM,TX1: Transplant Hospital,7,Ann & Robert H. Lurie Children's Hosp,of Chicago,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,60611,143300,,USA,1,10,173
ILCR,OP1: Independent OPO,7,Chicago Reg Organ and Tissue Bank,,Chicago Regional Organ and Tissue Bank,Chicago,IL,61612,14OP01,,USA,0,,174
ILEH,TX1: Transplant Hospital,7,Evanston Hospital,,Evanston Hospital,Evanston,IL,60201,140010,,USA,0,10,175
ILIP,OP1: Independent OPO,7,Gift of Hope,,Gift of Hope Organ & Tissue Donor Network,Itasca,IL,60143,14P001,,USA,1,,176
ILLU,IT1: Hospital Based Lab,7,Clinical Histo Lab at Loyola,,Clinical Histocompatibility Laboratory at Loyola University Medical Center,Maywood,IL,60153,140276,,USA,1,,177
ILLU,TX1: Transplant Hospital,7,Loyola Univ Med Center,,Loyola University Medical Center,Maywood,IL,60153,140276,,USA,1,10,178
ILLU,VA1: Veteran's Hospital,7,Hines V.A. Medical Center,,Hines Veterans Administration Medical Center,Hines,IL,60141,14007F,,USA,0,,179
ILMM,IT1: Hospital Based Lab,7,Histo Lab at Memorial Med Ctr,,Histocompatibility Laboratory at Memorial Medical Center,Springfield,IL,62781,140148,,USA,1,,180
ILMM,TX1: Transplant Hospital,7,Springfield Memorial Hospital,,Springfield Memorial Hospital,Springfield,IL,62781-0001,140148,,USA,1,10,181
ILNM,IT1: Hospital Based Lab,7,Transplant Immunology Lab,Northwestern Memorial Hospital,Transplant Immunology Laboratory at Northwestern Memorial Hospital,Chicago,IL,60611,140281,,USA,1,,182
ILNM,TX1: Transplant Hospital,7,Northwestern Memorial Hospital,,Northwestern Memorial Hospital,Chicago,IL,60611,140281,,USA,1,10,183
