NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,f. other,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,12 ,0 ,12 ,0 ,0 ,0 ,91 ,0 ,91 ,1 ,0 ,1 ,21 ,323 ,344 ,337 ,668 ,"1,005 ",0 ,0 ,0 ,0 ,45 ,45 ,0 ,0 ,0 ,463 ,"1,036 ","1,499 "
 4. GYN Procedures,a. hysterectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,6 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,3 ,20 ,0 ,0 ,0 ,0 ,16 ,16 ,0 ,0 ,0 ,23 ,20 ,43 
,b. other elective procedures,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,7 ,0 ,7 ,0 ,23 ,23 ,38 ,0 ,38 ,4 ,0 ,4 ,0 ,0 ,0 ,19 ,17 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,69 ,40 ,109 
 5.  Medical Referral/,a. dermatology,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,7 ,19 ,0 ,19 ,0 ,0 ,0 ,180 ,0 ,180 ,3 ,0 ,3 ,50 ,523 ,573 ,345 ,167 ,512 ,0 ,0 ,0 ,0 ,7 ,7 ,0 ,0 ,0 ,604 ,697 ,"1,301 "
      Procedures,b. neurology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,1 ,1 ,198 ,0 ,198 ,1 ,0 ,1 ,81 ,766 ,847 ,359 ,32 ,391 ,0 ,0 ,0 ,0 ,251 ,251 ,0 ,0 ,0 ,648 ,"1,050 ","1,698 "
,c. EEG/EMG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,22 ,0 ,22 ,0 ,0 ,0 ,2 ,0 ,2 ,150 ,14 ,164 ,0 ,0 ,0 ,0 ,30 ,30 ,0 ,0 ,0 ,178 ,44 ,222 
,d. internal medicine,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,25 ,25 ,9 ,7 ,16 ,0 ,0 ,0 ,0 ,"4,749 ","4,749 ",0 ,0 ,0 ,10 ,"4,781 ","4,791 "
,e. nephrology/IVPs,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,10 ,0 ,1 ,1 ,56 ,0 ,56 ,0 ,0 ,0 ,60 ,315 ,375 ,261 ,263 ,524 ,0 ,0 ,0 ,0 ,13 ,13 ,0 ,0 ,0 ,387 ,592 ,979 
,f. hematology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,3 ,3 ,40 ,0 ,40 ,0 ,0 ,0 ,1 ,685 ,686 ,31 ,37 ,68 ,0 ,0 ,0 ,0 ,536 ,536 ,0 ,0 ,0 ,73 ,"1,261 ","1,334 "
,g. oncology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,16 ,3 ,0 ,3 ,1 ,0 ,1 ,26 ,0 ,26 ,26 ,"2,240 ","2,266 ",0 ,0 ,0 ,0 ,110 ,110 ,0 ,0 ,0 ,56 ,"2,366 ","2,422 "
,h. GI/gastroscopy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,10 ,0 ,18 ,18 ,120 ,0 ,120 ,1 ,0 ,1 ,116 ,497 ,613 ,241 ,838 ,"1,079 ",0 ,0 ,0 ,0 ,89 ,89 ,0 ,0 ,0 ,488 ,"1,442 ","1,930 "
,i. pulmonary,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,25 ,0 ,3 ,3 ,50 ,0 ,50 ,2 ,0 ,2 ,20 ,270 ,290 ,50 ,429 ,479 ,0 ,0 ,0 ,0 ,6 ,6 ,0 ,0 ,0 ,147 ,708 ,855 
,j. CAT scans/nuclear med./MRI,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,75 ,0 ,75 ,0 ,4 ,4 ,105 ,0 ,105 ,3 ,0 ,3 ,192 ,976 ,"1,168 ",185 ,277 ,462 ,0 ,0 ,0 ,0 ,"1,026 ","1,026 ",0 ,0 ,0 ,563 ,"2,283 ","2,846 "
,k. edocrinology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,95 ,0 ,95 ,0 ,0 ,0 ,60 ,247 ,307 ,171 ,663 ,834 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,332 ,910 ,"1,242 "
,l. rheumatology,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,19 ,0 ,19 ,0 ,23 ,23 ,166 ,0 ,166 ,0 ,0 ,0 ,60 ,240 ,300 ,323 ,106 ,429 ,0 ,0 ,0 ,0 ,122 ,122 ,0 ,0 ,0 ,569 ,491 ,"1,060 "
,m. podiatry,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,15 ,0 ,15 ,0 ,0 ,0 ,93 ,0 ,93 ,6 ,0 ,6 ,26 ,22 ,48 ,2 ,"1,070 ","1,072 ",0 ,0 ,0 ,0 ,12 ,12 ,0 ,0 ,0 ,143 ,"1,104 ","1,247 "
,n. genetic counseling,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,1 ,0 ,1 ,0 ,14 ,14 ,14 ,0 ,14 ,0 ,0 ,0 ,11 ,116 ,127 ,31 ,19 ,50 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,59 ,150 ,209 
,o. other,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,72 ,0 ,72 ,0 ,3 ,3 ,198 ,0 ,198 ,33 ,0 ,33 ,6 ,"4,432 ","4,438 ","1,585 ","2,610 ","4,195 ",0 ,0 ,0 ,0 ,70 ,70 ,0 ,0 ,0 ,"1,896 ","7,115 ","9,011 "
6. Ophthalmolgic ,a. cataract surgery,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,16 ,0 ,16 ,0 ,0 ,0 ,27 ,0 ,27 ,0 ,0 ,0 ,31 ,4 ,35 ,551 ,107 ,658 ,0 ,0 ,0 ,0 ,13 ,13 ,0 ,0 ,0 ,627 ,124 ,751 
     Services,b. diabetic retinop./laser,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,14 ,0 ,0 ,0 ,6 ,73 ,79 ,40 ,0 ,40 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,60 ,73 ,133 
,c. pterygium excision,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,20 ,20 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,20 ,24 
,d. other ophthalmolgic,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,18 ,0 ,18 ,0 ,0 ,0 ,45 ,0 ,45 ,36 ,0 ,36 ,21 ,394 ,415 ,390 ,"1,510 ","1,900 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,511 ,"1,904 ","2,415 "
7. Orthopedic ,a. arthroscopy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,61 ,0 ,61 ,0 ,0 ,0 ,2 ,0 ,2 ,78 ,13 ,91 ,0 ,0 ,0 ,0 ,19 ,19 ,0 ,0 ,0 ,147 ,32 ,179 
    Procedures,b. tendon repair/carpal tunnel,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46 ,0 ,46 ,0 ,7 ,7 ,27 ,0 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,113 ,12 ,125 ,0 ,0 ,0 ,0 ,9 ,9 ,0 ,0 ,0 ,186 ,28 ,214 
,c. other orthopedic,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,42 ,0 ,42 ,0 ,1 ,1 ,552 ,0 ,552 ,12 ,0 ,12 ,186 ,761 ,947 ,977 ,"4,290 ","5,267 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,772 ","5,052 ","6,824 "
8. Prosthetics/,a. prosthetic devices V52,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,55 ,0 ,55 ,6 ,5 ,11 ,0 ,0 ,0 ,0 ,13 ,13 ,0 ,0 ,0 ,70 ,18 ,88 
    Orthotics,b. other devices,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,2 ,1 ,0 ,1 ,0 ,0 ,0 ,16 ,0 ,16 ,31 ,0 ,31 ,0 ,0 ,0 ,0 ,112 ,112 ,0 ,0 ,0 ,49 ,114 ,163 
,c. wheelchairs,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,1 ,0 ,9 ,9 ,15 ,0 ,15 ,2 ,0 ,2 ,16 ,6 ,22 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,101 ,101 ,0 ,0 ,0 ,35 ,119 ,154 
,d. other,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,1 ,44 ,0 ,44 ,0 ,0 ,0 ,29 ,0 ,29 ,3 ,557 ,560 ,0 ,0 ,0 ,0 ,25 ,25 ,0 ,0 ,0 ,79 ,583 ,662 
9. Psychiatric Eval.,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,0 ,31 ,0 ,0 ,0 ,11 ,0 ,11 ,0 ,0 ,0 ,13 ,0 ,13 ,70 ,"1,045 ","1,115 ",0 ,0 ,0 ,0 ,709 ,709 ,0 ,0 ,0 ,125 ,"1,754 ","1,879 "
10. Surgical Referal,a. hemorrhoidectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,9 ,9 ,4 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,9 ,24 
      Procedures,b. cholecystectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,6 ,6 ,13 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,31 ,947 ,978 ,0 ,0 ,0 ,0 ,18 ,18 ,0 ,0 ,0 ,53 ,971 ,"1,024 "
,c. minor surgery,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,10 ,0 ,10 ,0 ,0 ,0 ,20 ,0 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,33 ,784 ,817 ,0 ,0 ,0 ,0 ,143 ,143 ,0 ,0 ,0 ,65 ,927 ,992 
,d. circumcisions,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,6 ,0 ,6 ,0 ,0 ,0 ,0 ,259 ,259 ,0 ,0 ,0 ,13 ,260 ,273 
,c. colonoscopy,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,12 ,0 ,12 ,0 ,0 ,0 ,85 ,0 ,85 ,0 ,0 ,0 ,12 ,0 ,12 ,119 ,78 ,197 ,0 ,0 ,0 ,0 ,81 ,81 ,0 ,0 ,0 ,232 ,159 ,391 
,d. hernia repair,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,7 ,0 ,7 ,7 ,34 ,0 ,34 ,0 ,0 ,0 ,3 ,0 ,3 ,60 ,10 ,70 ,0 ,0 ,0 ,0 ,19 ,19 ,0 ,0 ,0 ,104 ,36 ,140 
,e. urology/cystoscopy,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,10 ,0 ,10 ,0 ,25 ,25 ,109 ,0 ,109 ,2 ,0 ,2 ,68 ,238 ,306 ,79 ,409 ,488 ,0 ,0 ,0 ,0 ,24 ,24 ,0 ,0 ,0 ,271 ,696 ,967 
,f. Other ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,11 ,0 ,11 ,0 ,0 ,0 ,71 ,0 ,71 ,2 ,0 ,2 ,6 ,0 ,6 ,299 ,"1,347 ","1,646 ",0 ,0 ,0 ,0 ,45 ,45 ,0 ,0 ,0 ,390 ,"1,392 ","1,782 "
TOTAL,,0 ,0 ,0 ,0 ,0 ,0 ,71 ,0 ,71 ,648 ,0 ,648 ,0 ,282 ,282 ,"2,767 ",0 ,"2,767 ",139 ,0 ,139 ,"2,546 ","11,372 ","13,918 ","7,670 ","22,789 ","30,459 ",0 ,0 ,0 ,0 ,"9,629 ","9,629 ",0 ,"6,078 ","6,078 ","13,841 ","50,150 ","63,991 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,841 ","50,150 ",,,,,,,,,
Table 3B,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,Federal PRC Programs,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alaska,Albuquerque,Bemidji,Billing,California,Great Plains,Nashville,Navajo,Oklahoma,Phoenix,Portland,Tucson,,,(b) (6) ,,,,,,,,,,,,,,,,,,,,,,,,
 l. Cardiac ,a. cardiac catheterization, -   , -   , -   , -   , -   , 5 , 1 , 92 , 48 , -   , 20 , -   , 166 ,,,,,,,,,,,,,,,,,,,,,,,,,,
    Procedures,b. arteriogram, -   , -   , -   , -   , -   , 24 , -   , 1 , 27 , -   , -   , -   , 52 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,c angioplasty, -   , -   , -   , -   , -   , 7 , -   , -   , 24 , -   , 4 , -   , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. angiogram, -   , -   , -   , -   , -   , 2 , -   , 2 , 15 , -   , 38 , -   , 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,"e. other (echo's, Holters)", -   , -   , -   , 12 , -   , 80 , 3 , 135 , 594 , -   , 183 , -   ," 1,007 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,f. stress tests, -   , -   , -   , 2 , -   , 13 , -   , 336 , 72 , -   , 47 , -   , 470 ,,,,,,,,,,,,,,,,,,,,,,,,,,
(Great Plains)----->,g. Cardiology Consults, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
 2. Dental ,a. orthodontics (braces), -   , -   , 5 , 37 , -   , 4 , 5 , 1 , 17 , -   , 192 ," 1,764 "," 2,025 ",,,,,,,,,,,,,,,,,,,,,,,,,,
     Procedures,"b. prosthodontics-bridges,dentures", -   , -   , -   , -   , -   , -   , 1 , 991 ," 1,568 ", -   , 92 ," 2,751 "," 5,403 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,c. endodontics (root canal), -   , -   , 12 , 28 , -   , -   , 6 , 94 , 15 , -   , 90 ," 1,563 "," 1,808 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,d. periodontics (gum surgery), -   , -   , 3 , -   , -   , -   , 1 , 2 , -   , -   , 10 , -   , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. oral surgery, -   , -   , 1 , 35 , -   , 2 , 9 , 13 , 13 , -   , 231 , -   , 304 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. other , -   , -   , 2 , 10 , -   , 2 , 3 , 121 , 10 , -   , 16 , -   , 164 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 3. ENT Services,a. non-acute otitis media, -   , -   , -   , 1 , -   , 4 , 1 , 11 , 207 , -   , 3 , -   , 227 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. tympanoplasties, -   , -   , -   , -   , -   , 1 , -   , 1 , 81 , -   , -   , -   , 83 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
,c. tonsillectomy and adenoidectomy, -   , -   , 2 , 2 , -   , 4 , -   , 5 , 100 , -   , 11 , -   , 124 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. septo-rhinoplasties, -   , -   , -   , 11 , -   , 2 , -   , 3 , 16 , -   , -   , -   , 32 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. P E tubes, -   , -   , -   , -   , -   , 1 , -   , -   , 37 , -   , 19 , -   , 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. other, -   , -   , 1 , 12 , -   , 91 , 1 , 344 ," 1,005 ", -   , 45 , -   ," 1,499 ",,,,,,,,,,,,,,,,,,,,,,,,,,
 4. GYN Procedures,a. hysterectomy, -   , -   , -   , -   , -   , 6 , -   , -   , 20 , -   , 16 , -   , 42 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. other elective procedures, -   , -   , 1 , 7 , -   , 38 , 4 , -   , 36 , -   , -   , -   , 86 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 5.  Medical Referral/,a. dermatology, -   , -   , 7 , 19 , -   , 180 , 3 , 573 , 512 , -   , 7 , -   ," 1,301 ",, ,,,,,,,,,,,,,,,,,,,,,,,,
      Procedures,b. neurology, -   , -   , -   , 9 , -   , 198 , 1 , 847 , 391 , -   , 251 , -   ," 1,697 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,c. EEG/EMG, -   , -   , -   , 4 , -   , 22 , -   , 2 , 164 , -   , 30 , -   , 222 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
,d. internal medicine, -   , -   , -   , -   , -   , 1 , -   , 25 , 16 , -   ," 4,749 ", -   ," 4,791 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,e. nephrology/IVPs, -   , -   , -   , 10 , -   , 56 , -   , 375 , 524 , -   , 13 , -   , 978 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. hematology, -   , -   , -   , 1 , -   , 40 , -   , 686 , 68 , -   , 536 , -   ," 1,331 ",, ,,,,,,,,,,,,,,,,,,,,,,,,
