,,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
5,California,"2,312 ","3,804 ","1,008 ",762 ,202 ,264 ,76 ,"1,082 ","9,510 ",,,,,,,,,,,,,
6,Great Plains,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
7,Nsshville,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
8,Navajo,"7,985 ","27,732 ","2,668 ","1,621 ",176 ,"1,340 ",544 ,548 ,"42,614 ",,,,,,,,,,,,,
9,Oklahoma,"3,800 ","1,456 ",275 ,188 ,28 ,"2,031 ","1,629 ","5,231 ","14,638 ",,,,,,,,,,,,,
10,Phoenix,122 ,"14,120 ",459 ,889 ,"1,203 ","5,076 ",55 ,"1,210 ","23,134 ",,,,,,,,,,,,,
11,Portland,38 ,317 ,812 ,0 ,298 ,4 ,36 ,177 ,"1,682 ",,,,,,,,,,,,,
12,Tucson,52 ,"9,721 ",156 ,479 ,0 ,"1,199 ",0 ,0 ,"11,607 ",,,,,,,,,,,,,
  Tribal Sub Total ,,"14,460 ","60,086 ","6,162 ","4,407 ","2,180 ","10,130 ","2,348 ","8,941 ","108,714 ",,,,,,,,,,,,,
I.H.S. OFFICES TOTAL,,"34,988 ","144,655 ","10,970 ","11,555 ","4,382 ","31,742 ","4,245 ","9,553 ","252,090 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Albuquerque Area Federal,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,(b) (6) ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,,,,,,,,,,,,
"Albuquerque Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,(b) (6) ,12," 2,348 ",134,66,66,134,0,38," 2,798 ",,,,,,,,,,,,,
2,(b) (6) ,83, 980 ,3,72,1,397,33,219," 1,788 ",,,,,,,,,,,,,
3,(b) (6) ,11, 605 ,20,95,96,80,444,0," 1,351 ",,,,,,,,,,,,,
4,(b) (6) ,0, 205 ,59,11,0,2,8,3, 288 ,,,,,,,,,,,,,
5,(b) (6) ,3, 818 ,59,1,0,1083,0,0," 1,964 ",,,,,,,,,,,,,
6,(b) (6) ,13, 717 ,9,26,0,175,0,0, 940 ,,,,,,,,,,,,,
7,(b) (6) ,8, 868 ,6,21,8,59,0,0, 970 ,,,,,,,,,,,,,
8,(b) (6) ,19 ,"1,444 ",42 ,17 ,0 ,363 ,5 ,0 ," 1,890 ",,,,,,,,,,,,,
  Federal Sub Total ,,149 ,"7,985 ",332 ,309 ,171 ,"2,293 ",490 ,260 ,"11,989 ",,,,,,,,,,,,,
1,None,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
  Tribal Sub Total ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
Albuquerque TOTAL ,,149 ,"7,985 ",332 ,309 ,171 ,"2,293 ",490 ,260 ,"11,989 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Bemidji Area Federal,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,,,,,,,,,,,,
"Bemidji Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,(b) (6) ,3,305,147,29,0,37,0,0,521,,,,,,,,,,,,,
2,(b) (6) ,29,651,5,480,0,147,0,7,1319,,,,,,,,,,,,,
3,(b) (6) ,0,0,0,48,0,14,122,0,184,,,,,,,,,,,,,
  Federal Sub Total ,,32 ,956 ,152 ,557 ,0 ,198 ,122 ,7 ,"2,024 ",,,,,,,,,,,,,
1,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
2,(b) (6) ,37 ,44 ,28 ,12 ,5 ,0 ,0 ,135 ,261 ,,,,,,,,,,,,,
3,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
4,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
5,(b) (6) ,68 ,21 ,4 ,241 ,0 ,14 ,0 ,32 ,380 ,,,,,,,,,,,,,
6,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
7,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
8,(b) (6) ,0 ,4 ,9 ,3 ,0 ,0 ,0 ,0 ,16 ,,,,,,,,,,,,,
9,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
10,(b) (6) ,0 ,13 ,0 ,0 ,2 ,1 ,2 ,0 ,18 ,,,,,,,,,,,,,
11,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
12,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
13,(b) (6) ,46 ,"2,854 ",743 ,212 ,266 ,201 ,6 ,526 ,"4,854 ",,,,,,,,,,,,,
14,(b) (6) ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
  Tribal Sub Total ,,151 ,"2,936 ",784 ,468 ,273 ,216 ,8 ,693 ,"5,529 ",,,,,,,,,,,,,
Bemidji TOTAL ,,183 ,"3,892 ",936 ,"1,025 ",273 ,414 ,130 ,700 ,"7,553 ",,,,,,,,,,,,,
"1 Bemidji Area Tribal comments from (b) (6)  regarding ""Denial"" report:",,,,,,,,,,,,,,,,,,,,,,,
"See Page 2a for data, without the categorization.  
PCHC is working with our Intergy consultant to be able to provide the request data listed above, but not until FY 18.",,,,,,,,,,,,,,,,,,,,,,,
2 Bemidji Area Tribal report from Oneida Tribe:,,,,,,,,,,,,,,,,,,,,,,,
,H. All Other Denials,,,,,,,,,,,,,,,,,,,,,,
,Deinal Reason,Number,,,,,,,,,,,,,,,,,,,,,
,Auto/Home Owner Claim,4,,,,,,,,,,,,,,,,,,,,,
,Request EOB to process,160,,,,,,,,,,,,,,,,,,,,,
,MA Co-Pay,53,,,,,,,,,,,,,,,,,,,,,
,Workmens Comp Claim,40,,,,,,,,,,,,,,,,,,,,,
,County Rescue Service Contract,116,,,,,,,,,,,,,,,,,,,,,
,Non-Comp W/Dur Med,1,,,,,,,,,,,,,,,,,,,,,
,Pending Alt Resource,75,,,,,,,,,,,,,,,,,,,,,
,Pending ER Documentation,69,,,,,,,,,,,,,,,,,,,,,
,Pending OCE Errors,8,,,,,,,,,,,,,,,,,,,,,
,TOTAL,526,,,,,,,,,,,,,,,,,,,,,
3 Bemidji Area Tribal report from (b) (6):,,,,,,,,,,,,,,,,,,,,,,,
,H.  All other denials-provide explanation below,,Alternate Resource Available (B),,21,,,,,,,,,,,,,,,,,,
,*H-Claim submitted over 2 years old-10,,Claim Submitted too old (H),,10,,,,,,,,,,,,,,,,,,
,*H-Denials Cancelled-15,,Indian Descent/Membership C,,4,,,,,,,,,,,,,,,,,,
,*H-Denials Reversed-7,,Meidical Priority (A),,68,,,,,,,,,,,,,,,,,,
,,,Notification (D),,241,,,,,,,,,,,,,,,,,,
,,,Residency (F),,14,,,,,,,,,,,,,,,,,,
,,,TOTAL Documents,,358,,,,,,,,,,,,,,,,,,
,,,TOTAL Cancelled,,15,,,,,,,,,,,,,,,,,,
,,,TOTAL Reversed,,7,,,,,,,,,,,,,,,,,,
,,,GRAND TOTAL,,380,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Billing Area Federal,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,,,,,,,,,,,,
"Billing Federal and Tribal (b) (6)  PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,(b) (6) ,208 ,"3,215 ",36 ,0 ,345 ,328 ,0 ,0 ,"4,132 ",,,,,,,,,,,,,
2,(b) (6) ,764 ,"3,261 ",101 ,0 ,181 ,394 ,0 ,0 ,"4,701 ",,,,,,,,,,,,,
3,(b) (6) ,15 ,246 ,39 ,0 ,113 ,285 ,0 ,0 ,698 ,,,,,,,,,,,,,
4,(b) (6) ,895 ,"1,061 ",58 ,152 ,895 ,373 ,184 ,0 ,"3,618 ",,,,,,,,,,,,,
5,(b) (6) ,9 ,"2,302 ",0 ,0 ,84 ,436 ,4 ,0 ,"2,835 ",,,,,,,,,,,,,
6,(b) (6) ,"3,353 ","6,073 ",129 ,0 ,245 ,791 ,0 ,0 ,"10,591 ",,,,,,,,,,,,,
7,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
  Federal Sub Total ,,"5,244 ","16,158 ",363 ,152 ,"1,863 ","2,607 ",188 ,0 ,"26,575 ",,,,,,,,,,,,,
1,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
3,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
4,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
5,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
6,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
  Tribal Sub Total ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
Billing TOTAL ,,"5,244 ","16,158 ",363 ,152 ,"1,863 ","2,607 ",188 ,0 ,"26,575 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Calfornia Area No Federal,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
"California Federal and Tribal PRC 
Programs",,,,,,,,,,,,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,None,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
  Federal Sub Total ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
1,(b) (6) ,1,1,3,1,1,0,0,7, 14 ,,,,,,,,,,,,,
2,(b) (6) ,100,882,50,95,0,38,0,0," 1,165 ",,,,,,,,,,,,,
3,(b) (6) ,4,0,16,11,0,6,0,11, 48 ,,,,,,,,,,,,,
4,(b) (6) ,18,262,54,165,0,3,0,360, 862 ,,,,,,,,,,,,,
5,(b) (6) ,49,26,63,38,45,6,22,41, 290 ,,,,,,,,,,,,,
6,(b) (6) ,3,28,3,0,0,2,3,500, 539 ,,,,,,,,,,,,,
7,(b) (6) ,12,48,1,0,0,3,0,0, 64 ,,,,,,,,,,,,,
8,(b) (6) ,14,23,17,11,21,8,18,16, 128 ,,,,,,,,,,,,,
9,(b) (6) ,2,6,62,2,2,62,0,0, 136 ,,,,,,,,,,,,,
10,(b) (6) ,0,5,0,7,0,0,0,0, 12 ,,,,,,,,,,,,,
11,(b) (6) ,0,84,44,7,0,2,7,3, 147 ,,,,,,,,,,,,,
12,(b) (6) ,183,601,1,1,0,0,0,0, 786 ,,,,,,,,,,,,,
13,(b) (6) ,13,127,53,47,39,21,4,23, 327 ,,,,,,,,,,,,,
14,(b) (6) ,0,0,0,0,1,0,0,2, 3 ,,,,,,,,,,,,,
15,(b) (6) ,72,77,27,30,3,2,3,84, 298 ,,,,,,,,,,,,,
16,(b) (6) ,1219,1,44,27,31,0,0,2," 1,324 ",,,,,,,,,,,,,
17,(b) (6) ,112,255,181,0,27,55,7,5, 642 ,,,,,,,,,,,,,
18,(b) (6) ,27,1,1,3,6,0,0,0, 38 ,,,,,,,,,,,,,
19,(b) (6) ,8,2,7,6,6,1,0,0, 30 ,,,,,,,,,,,,,
20,(b) (6) ,1,148,63,5,2,0,0,0, 219 ,,,,,,,,,,,,,
21,(b) (6) ,0,648,0,0,0,0,0,0, 648 ,,,,,,,,,,,,,
22,(b) (6) ,321,8,158,252,0,0,0,0, 739 ,,,,,,,,,,,,,
23,(b) (6) ,147,325,114,22,3,46,12,0, 669 ,,,,,,,,,,,,,
24,(b) (6) ,4,3,8,6,4,6,0,1, 32 ,,,,,,,,,,,,,
25,(b) (6) ,2,115,5,26,11,3,0,27, 189 ,,,,,,,,,,,,,
26,(b) (6) ,0,128,33,0,0,0,0,0, 161 ,,,,,,,,,,,,,
  Tribal Sub Total ,,"2,312 ","3,804 ","1,008 ",762 ,202 ,264 ,76 ,"1,082 ","9,510 ",,,,,,,,,,,,,
California TOTAL,,"2,312 ","3,804 ","1,008 ",762 ,202 ,264 ,76 ,"1,082 ","9,510 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Great Plains Area Federal,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,
,,Great Plains Area Indian Health Service,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Great Plains Federal and Tribal PRC 
Programs",,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,,,,,,,,,,,,
,,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,(b) (6) , 51 ," 2,749 ",0, 256 ,0, 204 ,0,0," 3,260 ",,,,,,,,,,,,,
2,(b) (6) , 149 ," 1,683 ", 403 , 268 ,0, 270 ,0,0," 2,773 ",,,,,,,,,,,,,
3,(b) (6) , 635 ," 1,339 ", 130 , 478 ,0, 107 ,0,0," 2,689 ",,,,,,,,,,,,,
4,(b) (6) , 28 ," 1,267 ", 49 , 256 ,0, 167 ,0,0," 1,767 ",,,,,,,,,,,,,
5,(b) (6) , 444 , 469 , 32 , 8 ,0, 117 ,0,0," 1,070 ",,,,,,,,,,,,,
6,(b) (6) ," 1,041 "," 5,814 ", 30 , 267 ,0, 288 ,0,0," 7,440 ",,,,,,,,,,,,,
7,(b) (6) ," 2,402 ", 503 , 408 , 305 ,0," 6,118 ",0,0," 9,736 ",,,,,,,,,,,,,
8,(b) (6) , 311 ," 1,671 ", 119 , 31 ,0, 210 ,0,0," 2,342 ",,,,,,,,,,,,,
9,(b) (6) , 33 ," 1,916 ", 232 , 704 ,0, 695 ,0,0," 3,580 ",,,,,,,,,,,,,
10,(b) (6) , 270 ," 1,481 ", 10 , 5 ,0, 202 ,0,0," 1,968 ",,,,,,,,,,,,,
11,(b) (6) , 102 , 764 , 19 , 105 ,0," 1,040 ",0,0," 2,030 ",,,,,,,,,,,,,
  Federal Sub Total ,," 5,466 "," 19,656 "," 1,432 "," 2,683 ", -   ," 9,418 ",0,0," 38,655 ",,,,,,,,,,,,,
1,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
3,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
4,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
5,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
6,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
7,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
8,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
  Tribal Sub Total ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
Great Plains TOTAL ,,"5,466 ","19,656 ","1,432 ","2,683 ",0 ,"9,418 ",0 ,0 ,"38,655 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nashville Area Federal,,,,,,,,,,,,,,,,,,,,,,
Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,,,
FY 2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Nashville Federal and Tribal PRC 
Programs",,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,(b) (6) ,23,42,9,23,79,0,18,1,195,,,,,,,,,,,,,
2,(b) (6) ,0,0,1,0,0,2,0,1,4,,,,,,,,,,,,,
3,(b) (6) ,47,22,6,0,53,0,1,0,129,,,,,,,,,,,,,
4,(b) (6) ,0,1,1,0,9,0,0,0,11,,,,,,,,,,,,,
5,(b) (6) ,8,31,0,8,0,49,0,58,154,,,,,,,,,,,,,
6,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
  Federal Sub Total ,,78 ,96 ,17 ,31 ,141 ,51 ,19 ,60 ,493 ,,,,,,,,,,,,,
1,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2,(b) (6) ,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
  Tribal Sub Total ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
Nashville TOTAL,,78 ,96 ,17 ,31 ,141 ,51 ,19 ,60 ,493 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Navajo Area Federal,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,,,,,,,,,,,,
"Navajo Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
1,(b) (6) ,280," 9,711 ",125,165,0,171,0,0,"10,452 ",,,,,,,,,,,,,
2,(b) (6) ,74," 2,295 ",0,102,0,6,0,0,"2,477 ",,,,,,,,,,,,,
3,(b) (6) ,886," 6,741 ",0,256,0,218,0,197,"8,298 ",,,,,,,,,,,,,
4,(b) (6) ,1," 2,305 ",1,0,0,0,0,0,"2,307 ",,,,,,,,,,,,,
5,(b) (6) ,148," 4,785 ",269,476,0,120,926,0,"6,724 ",,,,,,,,,,,,,
  Federal Sub Total ,,"1,389 ","25,837 ",395 ,999 ,0 ,515 ,926 ,197 ,"30,258 ",,,,,,,,,,,,,
1,(b) (6) ,5 ,"4,933 ",1 ,558 ,0 ,1 ,0 ,0 ,"5,498 ",,,,,,,,,,,,,
2,(b) (6) ,"6,261 ","9,245 ","2,361 ",663 ,0 ,"1,068 ",0 ,0 ,"19,598 ",,,,,,,,,,,,,
3,(b) (6) ,"1,474 ","11,266 ",13 ,245 ,0 ,148 ,0 ,0 ,"13,146 ",,,,,,,,,,,,,
4,(b) (6) ,245 ,"2,288 ",293 ,155 ,176 ,123 ,544 ,548 ,"4,372 ",,,,,,,,,,,,,
5,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,
  Tribal Sub Total ,,"7,985 ","27,732 ","2,668 ","1,621 ",176 ,"1,340 ",544 ,548 ,"42,614 ",,,,,,,,,,,,,
Navajo TOTAL,,"9,374 ","53,569 ","3,063 ","2,620 ",176 ,"1,855 ","1,470 ",745 ,"72,872 ",,,,,,,,,,,,,
,,,,,,,,,Indian Descent,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Oklahoma Area Federal,,,,,,,,,,,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,,,,,,,,,,,,
,,FY 2017,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,,,,,,,,,,,,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,,,,,,,,,,,,
"Oklahoma Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,,,,,
