,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
1,Alaska, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
2,Albuquerque, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
3,Bemidji, 124 , 611 , 24 , 180 , 22 , 15 , 29 ," 3,757 "," 4,762 ",Yes,
4,Billing, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
5,California," 2,529 "," 3,049 "," 1,177 ", 514 , 410 , 306 , 59 ," 1,012 "," 9,056 ",Yes,
6,Great Plains, 193 , 437 , 92 , 50 , 53 , 227 , 374 ," 1,369 "," 2,795 ",Yes,
7,Nsshville, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
8,Navajo," 5,484 "," 24,403 ", 533 ," 1,158 ", 182 ," 1,595 ", 315 ," 2,169 "," 35,839 ",Yes,
9,Oklahoma," 3,577 "," 2,987 ", 612 , 419 , 184 ," 2,161 ", 859 ," 1,061 "," 11,860 ",Yes,
10,Phoenix, 14 ," 8,335 "," 2,365 ", 189 ," 2,295 "," 5,721 ", 7 ," 1,687 "," 20,613 ",Yes,
11,Portland, 9 , 64 , 254 , 55 , 209 , -   , 8 , 116 , 715 ,Yes,
12,Tucson, -   , -   , -   , -   , -   , -   , -   , -   , -   ,Yes,
  Tribal Sub Total ,," 11,930 "," 39,886 "," 5,057 "," 2,565 "," 3,355 "," 10,025 "," 1,651 "," 11,171 "," 85,640 ",,
I.H.S. OFFICES TOTAL,," 20,053 "," 128,470 "," 11,911 "," 8,498 "," 4,162 "," 29,361 "," 5,259 "," 11,529 "," 219,243 ",,
,,,,,   ,,,,,,,
,,,,,,,,,,,,
,Albuquerque Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Albuquerque Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 46 ," 2,410 ", 61 , 67 , -   , 251 , -   , -   ," 2,835 ",,
2,(b) (6) ," 1,359 "," 3,744 ", 183 , 132 , -   ," 2,081 ", -   , 115 ," 7,614 ",,
3,(b) (6) , 1 ," 1,112 ", 62 , 202 , -   , 96 , -   , -   ," 1,473 ",,
4,(b) (6) , 2 , 134 , 17 , -   , -   , 18 , -   , -   , 171 ,,
5,(b) (6) , 31 , 199 , 13 , 2 , -   , 908 , -   , -   ," 1,153 ",,
6,(b) (6) , 8 ," 1,712 ", 2 , 50 , -   , 212 , -   , -   ," 1,984 ",,
7,(b) (6) , 6 ," 1,361 ", 23 , 63 , 6 , 61 , -   , -   ," 1,520 ",,
8,(b) (6) , -   ," 1,764 ", 54 , 42 , -   , 348 , -   , -   ," 2,208 ",,
  Federal Sub Total ,," 1,453 "," 12,436 ", 415 , 558 , 6 ," 3,975 ", -   , 115 ," 18,958 ",,
1,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Albuquerque TOTAL ,," 1,453 "," 12,436 ", 415 , 558 , 6 ," 3,975 ", -   , 115 ," 18,958 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Bemidji Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Bemidji Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 33 , 138 , 31 , 86 , 27 , 109 , 54 , 12 , 490 ,,
2,(b) (6) , 4 , 190 , 1 , 63 , -   , 10 , -   , -   , 268 ,,
3,(b) (6) , 89 , 525 , 12 , 773 , 129 , 266 , 45 , -   ," 1,839 ",,
  Federal Sub Total ,, 126 , 853 , 44 , 922 , 156 , 385 , 99 , 12 ," 2,597 ",,
1,(b) (6) , 22 , 594 , -   , -   , 4 , 6 , 18 ," 3,740 "," 4,384 ",,
2,(b) (6) , -   , 4 , 6 , -   , 14 , 2 , 1 , 4 , 31 ,,
3,(b) (6) , 5 , 8 , 2 , 5 , 1 , -   , 10 , 1 , 32 ,,
4,(b) (6) , 97 , 5 , 16 , 175 , 3 , 7 , -   , 12 , 315 ,,
  Tribal Sub Total ,, 124 , 611 , 24 , 180 , 22 , 15 , 29 ," 3,757 "," 4,762 ",,
Bemidji TOTAL ,, 250 ," 1,464 ", 68 ," 1,102 ", 178 , 400 , 128 ," 3,769 "," 7,359 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Billing Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Billing Federal and Tribal (b) (6)  PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 46 ," 1,400 ", 26 , 78 , -   , 156 , -   , -   ," 1,706 ",,
2,(b) (6) , 28 ," 1,624 ", 109 , 107 , -   , 765 , -   , -   ," 2,633 ",,
3,(b) (6) , 6 , 25 , 33 , 28 , -   , 278 , -   , -   , 370 ,,
4,(b) (6) , 127 ," 1,860 ", 151 , 115 , -   , 283 , -   , -   ," 2,536 ",,
5,(b) (6) , 16 ," 1,683 ", 10 , 48 , -   , 401 , -   , -   ," 2,158 ",,
6,(b) (6) , 177 ," 6,534 ", 12 , 88 , -   , 561 , -   , -   ," 7,372 ",,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, 400 ," 13,126 ", 341 , 464 , -   ," 2,444 ", -   , -   ," 16,775 ",,
1,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Billing TOTAL ,, 400 ," 13,126 ", 341 , 464 , -   ," 2,444 ", -   , -   ," 16,775 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Calfornia Area No Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
"California Federal and Tribal PRC 
Programs",,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,None, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1,(b) (6) ," 1,689 ", 92 , 17 , 8 , -   , -   , -   , -   ," 1,806 ",,
2,(b) (6) , -   , 337 , 190 , -   , 21 , 37 , -   , 92 , 677 ,,
3,(b) (6) , 74 , 5 , 94 , 42 , 50 , 8 , 1 , 87 , 361 ,,
4,(b) (6) , 2 , -   , 4 , 4 , 16 , -   , -   , 8 , 34 ,,
5,(b) (6) , 6 , 64 , 6 ,, 4 , 1 , -   ,, 81 ,,
6,(b) (6) , 24 , -   , 8 , 1 , 5 , 4 , -   , 2 , 44 ,,
7,(b) (6) , No Report , -   , -   , -   , -   , -   , -   , -   , -   ,,
8,(b) (6) , 11 , 182 , 49 , 60 , 16 , 62 , -   , 134 , 514 ,,
9,(b) (6) , -   , 8 , -   , 26 , 5 , -   , -   , -   , 39 ,,
10,(b) (6) , Report Pending , -   , -   , -   , -   , -   , -   , -   , -   ,,
11,(b) (6) , -   , 96 , 32 , 7 , 1 , -   , -   , -   , 136 ,,
12,(b) (6) , -   , 465 , -   , -   , -   , -   , -   , -   , 465 ,,
13,(b) (6) , 41 , 7 , 88 , 18 , 17 , 3 , 10 , 102 , 286 ,,
14,(b) (6) , 1 , 98 , 64 , 3 , 1 , 1 , -   , 1 , 169 ,,
15,(b) (6) , 166 , 373 , 174 , -   , 35 , 134 , -   , -   , 882 ,,
16,(b) (6) , 270 , 119 , -   , 22 , -   , 8 , 1 , -   , 420 ,,
17,(b) (6) , 1 , 44 , 160 , -   , -   , -   , 6 , 6 , 217 ,,
18,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
19,(b) (6) , 63 , 26 , 11 , 24 , -   , 1 , -   , 42 , 167 ,,
20,(b) (6) , 59 , 782 , 28 ,, 106 , 14 , -   , -   , 989 ,,
21,(b) (6) , 58 , 114 , 4 , 138 , -   , 6 , -   , -   , 320 ,,
22,(b) (6) , 1 , -   , -   , -   , 8 , -   , -   , -   , 9 ,,
23,(b) (6) , 5 , 29 , 12 , -   , -   , 2 , -   , 501 , 549 ,,
24,(b) (6) , 47 , 49 , 199 , 128 , 60 , 7 , -   , 9 , 499 ,,
25,(b) (6) , 6 , 5 , 23 , 10 , 46 , -   , 39 , 12 , 141 ,,
26,(b) (6) , 4 , 33 , 6 , 17 , -   , 11 , 2 , 11 , 84 ,,
27,(b) (6) , -   , 120 , 7 , 6 , 19 , 4 , -   , 5 , 161 ,,
28,(b) (6) , 1 , 1 , 1 , -   , -   , 3 , -   , -   , 6 ,,
  Tribal Sub Total ,," 2,529 "," 3,049 "," 1,177 ", 514 , 410 , 306 , 59 ," 1,012 "," 9,056 ",,
California TOTAL,," 2,529 "," 3,049 "," 1,177 ", 514 , 410 , 306 , 59 ," 1,012 "," 9,056 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Great Plains Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,Great Plains Area Indian Health Service,,,,,,,,,,
,,,,,,,,,,,,
"Great Plains Federal and Tribal PRC 
Programs",,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
,,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 33 ," 1,939 ", 1 , 194 , 194 , 115 ," 1,939 ", -   ," 4,415 ",,
2,(b) (6) , 142 ," 2,135 ", 477 , 306 , -   , 400 , -   , -   ," 3,460 ",,
3,(b) (6) , 97 ," 1,802 ", 96 , -   , 299 , 110 , -   , -   ," 2,404 ",,
4,(b) (6) , 131 ," 3,494 ", 73 , 151 , -   , 675 , -   , -   ," 4,524 ",,
5,(b) (6) , 2 ," 1,022 ", 58 , 143 , -   , 44 , -   , -   ," 1,269 ",,
6,(b) (6) , 460 ," 5,786 ", 19 , 243 , -   , 536 , -   , -   ," 7,044 ",,
7,(b) (6) , 461 , 570 , 5 , 26 , -   ," 1,559 ", -   , -   ," 2,621 ",,
8,(b) (6) , 183 ," 1,801 ", 199 , -   , 133 , 273 , -   , -   ," 2,589 ",,
9,(b) (6) , 8 ," 1,190 ", 106 , 481 , -   , 641 , -   , -   ," 2,426 ",,
10,(b) (6) , 91 , 914 , 32 , 38 , -   , 261 , -   , -   ," 1,336 ",,
11,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,," 1,608 "," 20,653 "," 1,066 "," 1,582 ", 626 ," 4,614 "," 1,939 ", -   ," 32,088 ",,
1,(b) (6) , 133 , 63 , 90 , -   , 41 , 3 , -   , -   , 330 ,,
2,(b) (6) , 60 , 374 , 2 , 50 , 12 , 224 , 374 ," 1,369 "," 2,465 ",,
3,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
8,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, 193 , 437 , 92 , 50 , 53 , 227 , 374 ," 1,369 "," 2,795 ",,
Great Plains TOTAL ,," 1,801 "," 21,090 "," 1,158 "," 1,632 ", 679 ," 4,841 "," 2,313 "," 1,369 "," 34,883 ",,
*,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Nashville Area Federal,,,,,,,,,,,
Purchased / Referred Care Denials                                         ,,,,,,,,,,,,
FY 2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,,,,,,,,,,,
"Nashville Federal and Tribal PRC 
Programs",,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 32 , 5 , 122 , 12 , -   , -   , -   , -   , 171 ,,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , 22 , 22 ,,
3,(b) (6) , -   , 6 , 1 , -   , -   , . , -   , 6 , 13 ,,
4,(b) (6) , 5 , -   , 9 , 1 , -   , 2 , 3 , 1 , 21 ,,
5,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,(b) (6) , -   , 1 , -   , 7 , -   , 9 , -   , -   , 17 ,,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, 37 , 12 , 132 , 20 , -   , 11 , 3 , 29 , 244 ,,
1,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Nashville TOTAL,, 37 , 12 , 132 , 20 , -   , 11 , 3 , 29 , 244 ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Navajo Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Navajo Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 30 ," 10,485 ", 146 , 64 , -   , 182 , -   , -   ," 10,907 ",,
2,(b) (6) , 5 ," 2,107 ", 42 , 144 , -   , 47 , -   , -   ," 2,345 ",,
3,(b) (6) ," 1,112 "," 7,261 ", 190 , 228 , -   , 188 , -   , -   ," 8,979 ",,
4,(b) (6) , 1 ," 2,410 ", 1 , 5 , -   , -   , -   , -   ," 2,417 ",,
5,(b) (6) , 222 ," 7,314 ", 350 , 598 , -   , 144 ," 1,085 ", -   ," 9,713 ",,
  Federal Sub Total ,," 1,370 "," 29,577 ", 729 ," 1,039 ", -   , 561 ," 1,085 ", -   ," 34,361 ",,
1,(b) (6) , 11 ," 6,102 ", 7 , 341 , -   , 16 , -   , -   ," 6,477 ",,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,(b) (6) ," 3,526 "," 5,447 ",, 556 , -   ," 1,227 ", -   ," 1,221 "," 11,977 ",,
4,(b) (6) , 160 ," 2,896 ", 480 , 101 , 182 , 145 , 315 , 218 ," 4,497 ",,
5,(b) (6) ," 1,787 "," 9,958 ", 46 , 160 , -   , 207 , -   , 730 ," 12,888 ",,
  Tribal Sub Total ,," 5,484 "," 24,403 ", 533 ," 1,158 ", 182 ," 1,595 ", 315 ," 2,169 "," 35,839 ",,
Navajo TOTAL,," 6,854 "," 53,980 "," 1,262 "," 2,197 ", 182 ," 2,156 "," 1,400 "," 2,169 "," 70,200 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Oklahoma Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Oklahoma Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) ," 1,413 ", 292 ," 2,304 ", 73 , 18 , 18 , 482 , 129 ," 4,729 ",,
2,(b) (6) , 52 , 6 , 888 , 11 , -   , 3 , -   , -   , 960 ,,
3,(b) (6) , 15 , 20 , 14 , 43 , -   , 292 , -   , -   , 384 ,,
4,(b) (6) , 345 , 855 , 375 , 314 , -   , 135 , -   , -   ," 2,024 ",,
5,(b) (6) , 229 , 298 , 321 , 225 , -   , 87 , -   , -   ," 1,160 ",,
6,(b) (6) , 795 , 4 , 52 , 65 , -   , -   , -   , -   , 916 ,,
7,(b) (6) , 107 , 13 , -   , 100 , -   , 1 , -   , 2 , 223 ,,
8,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,," 2,956 "," 1,488 "," 3,954 ", 831 , 18 , 536 , 482 , 131 ," 10,396 ",,
1,(b) (6) , 3 , 20 , 3 , 31 , 18 , 1 , 3 , 11 , 90 ,,
2,(b) (6) ," 2,522 ", 241 , 23 , 94 , -   , 414 , -   , -   ," 3,294 ",,
3,(b) (6) , 296 , 390 , 231 , 2 , -   , 715 , -   , 11 ," 1,645 ",,
4,(b) (6) , 271 ," 1,922 ", 18 , 80 , -   , 191 , 247 , -   ," 2,729 ",,
5,(b) (6) , 23 , -   , -   , -   , -   , -   , 157 , 219 , 399 ,,
6,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   , 739* ,
7,(b) (6) , 17 , 4 , 120 , 8 , 30 , 48 , 9 , 20 , 256 ,,
8,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
9,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
10,(b) (6) , 9 , 14 , 1 , -   , -   , 5 , -   , -   , 29 ,,
11,(b) (6) , 31 , 76 , 29 , 3 , -   , -   , -   , -   , 139 ,,
12,(b) (6) , 44 , 99 , 80 , 35 , -   , 541 , 126 , -   , 925 ,,
13,(b) (6) , 234 , 4 , -   , -   , 7 , 4 , 124 , -   , 373 ,,
14,(b) (6) , -   , 105 , 88 , 160 , 125 , 232 , 70 , 135 , 915 ,,
15,(b) (6) , 54 , 16 , 15 , -   , -   , 6 , -   , 660 , 751 ,,
16,(b) (6) , 73 , 96 , 4 , 6 , 4 , 4 , 123 , 5 , 315 ,,
  Tribal Sub Total ,," 3,577 "," 2,987 ", 612 , 419 , 184 ," 2,161 ", 859 ," 1,061 "," 11,860 ",,
Oklahoma TOTAL,," 6,533 "," 4,475 "," 4,566 "," 1,250 ", 202 ," 2,697 "," 1,341 "," 1,192 "," 22,256 ",,
*Unable to report reason for denials this year due to data challenges.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Phoenix Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Phoenix Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 2 ," 2,807 ", 11 , 39 , -   , 236 , -   , -   ," 3,095 ",,
2,(b) (6) , -   , 18 , -   , 2 , -   , 1 , -   , -   , 21 ,,
3,(b) (6) , -   , 38 , -   , 23 , -   , 4 , -   , -   , 65 ,,
4,(b) (6) , -   , 5 , -   , -   , -   ,, -   , -   , 5 ,,
5,(b) (6) , 3 , 192 , -   , 1 , -   , 58 , -   , -   , 254 ,,
6,(b) (6) , 18 ," 1,000 ", 45 , 9 , -   , 136 , -   , -   ," 1,208 ",,
7,(b) (6) , 11 ," 2,740 ", 22 , 41 , -   , 51 , -   , -   ," 2,865 ",,
8,(b) (6) , 74 ," 1,264 ", 78 , 40 , -   ," 6,161 ", -   , 57 ," 7,674 ",,
9,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
10,(b) (6) , 10 ," 2,027 ", 14 , 90 , -   , 16 , -   , -   ," 2,157 ",,
11,(b) (6) , 27 , 198 , 1 , 82 , -   , 90 , -   , 14 , 412 ,,
12,(b) (6) , 1 , 3 , -   , 49 , -   , -   , -   , -   , 53 ,,
13,(b) (6) , 27 , 135 , 2 , 2 , -   , 51 , -   , -   , 217 ,,
  Federal Sub Total ,, 173 ," 10,427 ", 173 , 378 , -   ," 6,804 ", -   , 71 ," 18,026 ",,
1,(b) (6) , 14 , 780 , 334 , -   , 273 , 66 , 6 , 226 ," 1,699 ",,
2,(b) (6) , -   ," 7,555 "," 2,031 ", 189 ," 2,022 "," 5,655 ", 1 ," 1,461 "," 18,914 ",,
  Tribal Sub Total ,, 14 ," 8,335 "," 2,365 ", 189 ," 2,295 "," 5,721 ", 7 ," 1,687 "," 20,613 ",,
Phoenix TOTAL,, 187 ," 18,762 "," 2,538 ", 567 ," 2,295 "," 12,525 ", 7 ," 1,758 "," 38,639 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Portland Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2020,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Portland Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , -   , 12 , -   , 139 , -   , 6 , -   , -   , 157 ,,
2,(b) (6) , -   , -   , -   , -   , 1 , -   , -   , -   , 1 ,,
3,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, -   , 12 , -   , 139 , 1 , 6 , -   , -   , 158 ,,
1,(b) (6) , -   , 3 , 1 , 2 , 10 , -   , -   , 10 , 26 ,,
2,(b) (6) , 9 , 61 , 253 , 53 , 199 , -   , 8 , 106 , 689 ,,
  Tribal Sub Total ,, 9 , 64 , 254 , 55 , 209 , -   , 8 , 116 , 715 ,,
Portland TOTAL,, 9 , 76 , 254 , 194 , 210 , 6 , 8 , 116 , 873 ,,
