,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
  Federal Sub Total ,," 10,933 "," 94,033 "," 4,572 "," 7,265 "," 1,962 "," 22,554 "," 2,462 "," 1,126 "," 144,907 ",,
1,Alaska, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,Albuquerque, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,Bemidji, 215 , 583 , 44 , 7 , 14 , 20 , 137 ," 4,505 "," 5,525 ",,
4,Billing, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,California," 3,045 "," 4,099 "," 1,114 ", 687 , 304 , 455 , 29 ," 1,170 "," 10,903 ",,
6,Great Plains, 229 , 103 , 82 , 4 , 59 , 17 , -   , -   , 494 ,,
7,Nsshville, 45 , 145 , 35 , 30 , 449 , 44 , 21 , 3 , 772 ,,
8,Navajo," 7,275 "," 27,974 ", 403 ," 1,358 ", 205 ," 1,871 ", 376 ," 2,561 "," 42,023 ",,
9,Oklahoma," 1,606 ", 257 , 633 , 116 , 26 , 938 ," 1,806 ", 140 ," 5,522 ",,
10,Phoenix, 96 ," 10,980 ", 464 ," 1,104 "," 2,521 "," 8,198 ", 61 ," 1,966 "," 25,390 ",,
11,Portland, 15 , 64 , 633 , 52 , 193 , -   , 12 , 15 , 984 ,,
12,Tucson, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,," 12,526 "," 44,205 "," 3,408 "," 3,358 "," 3,771 "," 11,543 "," 2,442 "," 10,360 "," 91,613 ",,
I.H.S. OFFICES TOTAL,," 23,459 "," 138,238 "," 7,980 "," 10,623 "," 5,733 "," 34,097 "," 4,904 "," 11,486 "," 236,520 ",,
,,,,,   ,,,,,,,
,,,,,,,,,,,,
,Albuquerque Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Albuquerque Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,( b) (6) , -   ," 2,840 ", 88 , -   , -   , 369 , -   , 105 ," 3,402 ",,
2,( b) (6) , 151 ," 3,893 ", 217 , 190 , -   ," 1,896 ", -   , 86 ," 6,433 ",,
3,( b) (6) , -   ," 1,367 ", 83 , 303 , -   , 113 , -   , -   ," 1,866 ",,
4,( b) (6) , -   , 236 , 2 , 33 , 6 , 68 , 100 , -   , 445 ,,
5,( b) (6) , 11 ," 2,007 ", 34 , 1 , 7 ," 1,693 ", -   , -   ," 3,753 ",,
6,( b) (6) , 5 ," 1,663 ", 11 , 8 , -   , 326 , -   , 20 ," 2,033 ",,
7,( b) (6) , 4 ," 1,166 ", 53 , 53 , -   , 53 , -   , 3 ," 1,332 ",,
8,( b) (6) , 9 ," 2,215 ", 68 , 30 , 1 , 371 , 6 , -   ," 2,700 ",,
  Federal Sub Total ,, 180 ," 15,387 ", 556 , 618 , 14 ," 4,889 ", 106 , 214 ," 21,964 ",,
1,( b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Albuquerque TOTAL ,, 180 ," 15,387 ", 556 , 618 , 14 ," 4,889 ", 106 , 214 ," 21,964 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Bemidji Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Bemidji Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,( b) (6) , 6 , 75 , 4 , 23 , 37 , 43 , -   , -   , 188 ,,
2,( b) (6) , 2 , -   , 1 , 66 , -   , 11 , 99 , -   , 179 ,,
3,( b) (6) , 139 , 642 , 212 , 836 , -   , 189 , -   , -   ," 2,018 ",,
  Federal Sub Total ,, 147 , 717 , 217 , 925 , 37 , 243 , 99 , -   ," 2,385 ",,
1,( b) (6) , 171 , 44 , 44 , 1 , 3 , 17 , 123 , 49 , 452 ,,
2,( b) (6) , 44 , 539 , -   , 6 , 11 , 3 , 14 ," 4,456 "," 5,073 ",,
3,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
8,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
9,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
10,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
11,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
12,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
14,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, 215 , 583 , 44 , 7 , 14 , 20 , 137 ," 4,505 "," 5,525 ",,
Bemidji TOTAL ,, 362 ," 1,300 ", 261 , 932 , 51 , 263 , 236 ," 4,505 "," 7,910 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Billing Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Billing Federal and Tribal (b) (6)  PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,( b) (6) , 19 ," 1,724 ", 32 , -   , 122 , 161 , -   , -   ," 2,058 ",,
2,( b) (6) , 96 ," 2,266 ", 86 , -   , 121 , 575 , -   , -   ," 3,144 ",,
3,( b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,( b) (6) , 68 , 639 , 142 , -   , 112 , 396 , -   , -   ," 1,357 ",,
5,( b) (6) , 23 ," 2,117 ", 8 , -   , 85 , 335 , 21 , -   ," 2,589 ",,
6,( b) (6) , 465 ," 7,739 ", 24 , -   , 72 , 912 , -   , -   ," 9,212 ",,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, 671 ," 14,485 ", 292 , -   , 512 ," 2,379 ", 21 , -   ," 18,360 ",,
1,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Billing TOTAL ,, 671 ," 14,485 ", 292 , -   , 512 ," 2,379 ", 21 , -   ," 18,360 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Calfornia Area No Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
"California Federal and Tribal PRC 
Programs",,,,,,,,,,,,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,None, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1,(b) (6) ," 2,229 ", 145 , 56 , -   , -   , -   , -   , -   ," 2,430 ",,
2,(b) (6) , 9 , 29 , 89 , -   , 23 , 43 , 1 , 43 , 237 ,,
3,(b) (6) , 59 , -   , 69 , 43 , 48 , -   , -   , 171 , 390 ,,
4,(b) (6) , -   , 6 , 2 , 4 , 1 , -   , -   , -   , 13 ,,
5,(b) (6) , 7 , 82 , 3 , -   , 9 , 11 , -   , -   , 112 ,,
6,(b) (6) , 53 , -   , 14 , 6 , 3 , -   , -   , -   , 76 ,,
7,(b) (6) , 4 , 42 , 106 , 3 , 11 , 80 , 3 , -   , 249 ,,
8,(b) (6) , 20 , 179 , 22 , 68 , -   , 104 , -   , 70 , 463 ,,
9,(b) (6) , 2 , 2 , -   , 4 , -   , -   , -   , -   , 8 ,,
10,(b) (6) , -   , 10 , 4 , 8 , 5 , 4 , 4 , -   , 35 ,,
11,(b) (6) , -   , 129 , 101 , 16 , 5 , 3 , -   , -   , 254 ,,
12,(b) (6) , -   , 792 , -   , -   , -   , -   , -   , -   , 792 ,,
13,(b) (6) , 67 , -   , 33 , 11 , -   , 2 , 3 , 31 , 147 ,,
14,(b) (6) , 1 , 173 , 37 , -   , -   , -   ,, 3 , 214 ,,
15,(b) (6) , 204 , 207 , 73 , -   , 38 , 113 , -   , 61 , 696 ,,
16,(b) (6) , 4 , 604 , -   , -   , -   , -   , -   , -   , 608 ,,
17,(b) (6) , -   , 67 , 31 , -   , -   , -   , 12 , 18 , 128 ,,
18,(b) (6) , -   , -   , 1 , -   , 2 , -   , -   , -   , 3 ,,
19,(b) (6) , 106 , 45 , 10 , 35 , -   , 14 , -   , -   , 210 ,,
20,(b) (6) , 134 ," 1,061 ", 28 , 101 , -   , 17 , -   , -   ," 1,341 ",,
21,(b) (6) , 21 , 139 , 29 , 78 , -   , 24 , -   , -   , 291 ,,
22,(b) (6) , 1 , -   , -   , -   , 3 , -   , 4 , -   , 8 ,,
23,(b) (6) , 10 , 35 , 5 , -   , -   , 2 , 2 , 691 , 745 ,,
24,(b) (6) , 98 , 109 , 357 , 261 , 109 , 26 , -   , 35 , 995 ,,
25,(b) (6) , 2 , 9 , 17 , 5 , 21 , -   , -   , 7 , 61 ,,
26,(b) (6) , 5 , 68 , 14 , 21 , -   , 7 , -   , 32 , 147 ,,
27,(b) (6) , 3 , 163 , 13 , 23 , 25 , 3 , -   , 8 , 238 ,,
28,(b) (6) , 6 , 3 , -   , -   , 1 , 2 , -   , -   , 12 ,,
  Tribal Sub Total ,," 3,045 "," 4,099 "," 1,114 ", 687 , 304 , 455 , 29 ," 1,170 "," 10,903 ",,
California TOTAL,," 3,045 "," 4,099 "," 1,114 ", 687 , 304 , 455 , 29 ," 1,170 "," 10,903 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Great Plains Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,Great Plains Area Indian Health Service,,,,,,,,,,
,,,,,,,,,,,,
"Great Plains Federal and Tribal PRC 
Programs",,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
,,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 401 ," 1,569 ", 32 , 89 , -   ," 4,489 ", -   , -   ," 6,580 ",,
2,(b) (6) , 6 ," 1,020 ", 38 , -   , 211 , 24 , -   , -   ," 1,299 ",,
3,(b) (6) , 311 ," 4,832 ", 19 , 439 , -   , 424 , -   , -   ," 6,025 ",,
4,(b) (6) , 189 ," 1,553 ", -   , -   , 48 , 299 , -   , -   ," 2,089 ",,
5,(b) (6) , 356 ," 2,031 ", 137 , 115 , -   , 210 , -   , -   ," 2,849 ",,
6,(b) (6) , 12 ," 1,604 ", 106 , 639 , -   , 644 , -   , -   ," 3,005 ",,
7,(b) (6) , 34 ," 1,667 ", 92 , 412 , -   , 118 , -   , -   ," 2,323 ",,
8,(b) (6) , 78 ," 2,649 ", 4 , 293 , -   , 196 , -   , -   ," 3,220 ",,
9,(b) (6) , 32 ," 2,215 ", 89 , 120 , -   , 374 , -   , -   ," 2,830 ",,
10,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
11,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,," 1,419 "," 19,140 ", 517 ," 2,107 ", 259 ," 6,778 ", -   , -   ," 30,220 ",,
1,(b) (6) , 229 , 103 , 82 , 4 , 59 , 17 , -   , -   , 494 ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
6,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
8,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, 229 , 103 , 82 , 4 , 59 , 17 , -   , -   , 494 ,,
Great Plains TOTAL ,," 1,648 "," 19,243 ", 599 ," 2,111 ", 318 ," 6,795 ", -   , -   ," 30,714 ",,
*,***NOTE***  ,,,,,,,,,,,
, I.H.S. facility available (G) inlcuded with Alternate Resource Available (B),,,,,,,,,,,
,Non-Emergent Care (E ) included with Emergency Notification within 72 hrs (D),,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Nashville Area Federal,,,,,,,,,,,
Purchased / Referred Care Denials                                         ,,,,,,,,,,,,
FY 2019,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,,,,,,,,,,,
"Nashville Federal and Tribal PRC 
Programs",,"Eligible But 
Care was not Within Medical Priority",Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 6 , 10 , 1 , 1 , -   , -   , -   , -   , 18 ,,
2,(b) (6) , -   , 1 , 11 , 6 , -   , -   , -   , -   , 18 ,,
3,(b) (6) , -   , -   , 4 , 3 , 2 , -   , 20 , -   , 29 ,,
4,(b) (6) , 30 , 42 , 43 , 12 , 33 , -   , 1 , -   , 161 ,,
5,(b) (6) , 55 , 12 , 84 , 31 , -   , 5 , -   , -   , 187 ,,
6,(b) (6) , -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,,
7,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, 91 , 65 , 143 , 53 , 35 , 6 , 21 , -   , 414 ,,
1,(b) (6) , 45 , 145 , 35 , 30 , 449 , 44 , 21 , 3 , 772 ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, 45 , 145 , 35 , 30 , 449 , 44 , 21 , 3 , 772 ,,
Nashville TOTAL,, 136 , 210 , 178 , 83 , 484 , 50 , 42 , 3 ," 1,186 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Navajo Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Navajo Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 295 ," 11,325 ", 119 , 254 , -   , 194 , -   , -   ," 12,187 ",,
2,(b) (6) , 39 ," 2,175 ", 58 , 142 , -   , 5 , -   , -   ," 2,419 ",,
3,(b) (6) , 792 ," 7,935 ", -   , 304 , -   , 240 , -   , 157 ," 9,428 ",,
4,(b) (6) , 3 ," 2,731 ", -   , -   , -   , -   , -   , -   ," 2,734 ",,
5,(b) (6) , 171 ," 6,220 ", 264 , 629 , -   , 136 ," 1,024 ", -   ," 8,444 ",,
  Federal Sub Total ,," 1,300 "," 30,386 ", 441 ," 1,329 ", -   , 575 ," 1,024 ", 157 ," 35,212 ",,
1,(b) (6) , 3 ," 6,291 ", 1 , 289 , -   , 3 , -   , -   ," 6,587 ",,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,(b) (6) ," 5,180 "," 7,946 ", -   , 705 , -   ," 1,467 ", -   ," 2,224 "," 17,522 ",,
4,(b) (6) , 205 ," 2,973 ", 375 , 110 , 205 , 177 , 376 , 337 ," 4,758 ",,
5,(b) (6) ," 1,887 "," 10,764 ", 27 , 254 , -   , 224 , -   , -   ," 13,156 ",,
  Tribal Sub Total ,," 7,275 "," 27,974 ", 403 ," 1,358 ", 205 ," 1,871 ", 376 ," 2,561 "," 42,023 ",,
Navajo TOTAL,," 8,575 "," 58,360 ", 844 ," 2,687 ", 205 ," 2,446 "," 1,400 "," 2,718 "," 77,235 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Oklahoma Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Oklahoma Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) ," 3,618 ", 285 , 529 , 105 , 35 , 13 , 531 , 170 ," 5,286 ",,
2,(b) (6) , 19 , 6 , 775 , 3 , 5 , -   , -   , 3 , 811 ,,
3,(b) (6) , 23 , 19 , 9 , 50 , -   , 209 , -   , -   , 310 ,,
4,(b) (6) , 587 , 36 , 159 , 978 , 978 , 159 , 655 , 568 ," 4,120 ",,
5,(b) (6) , 985 , 243 , 401 , 181 , 87 , 75 , 5 , 2 ," 1,979 ",,
6,(b) (6) ," 1,426 ", 26 , 192 , 141 , -   , 11 , -   , -   ," 1,796 ",,
7,(b) (6) , 90 , 91 , -   , 101 , -   , 1 , -   , 11 , 294 ,,
8,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,," 6,748 ", 706 ," 2,065 "," 1,559 "," 1,105 ", 468 ," 1,191 ", 754 ," 14,596 ",,
1,(b) (6) , 649 , 208 , 47 , 102 ,, 239 ," 1,560 ", 137 ," 2,942 ",,
2,(b) (6) , 373 , -   , -   , -   , -   , -   , 237 , -   , 610 ,,
*3,(b) (6) , 70 , 21 , 17 , 1 , -   , 2 , -   , -   , 111 ,,
4,(b) (6) , 446 , 2 , 312 , -   , -   , 647 , -   , -   ," 1,407 ",,
5,(b) (6) , 21 , 1 , 257 , 2 , 26 , 40 , 9 , 3 , 359 ,,
6,(b) (6) , 47 , 25 , -   , 11 , -   , 10 , -   , -   , 93 ,,
  Tribal Sub Total ,," 1,606 ", 257 , 633 , 116 , 26 , 938 ," 1,806 ", 140 ," 5,522 ",,
Oklahoma TOTAL,," 8,354 ", 963 ," 2,698 "," 1,675 "," 1,131 "," 1,406 "," 2,997 ", 894 ," 20,118 ",,
"*3 ""We do not do Deferrals, we also do not enter denials under DEN for denied referrals. We only do denials under DEN for ER's and ER/ADMIT's that are denied. ",,,,,,,,,,,,
"We did have a total of 829 denied referrals in all.""",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Phoenix Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Phoenix Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 7 , 44 , 59 , 76 , -   , -   , -   , 1 , 187 ,,
2,(b) (6) , 32 ," 2,993 ", 24 , 111 , -   , 28 , -   , -   ," 3,188 ",,
3,(b) (6) , 244 ," 2,282 ", 121 , 38 , -   ," 6,768 ", -   , -   ," 9,453 ",,
4,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5,(b) (6) , 4 ," 1,287 ", 24 , 10 , -   , 108 , -   , -   ," 1,433 ",,
6,(b) (6) , 1 ," 3,417 ", 12 , 21 , -   , 203 , -   , -   ," 3,654 ",,
7,(b) (6) , -   , -   , -   , 1 , -   , -   , -   , -   , 1 ,,
8,(b) (6) , -   , 64 , -   , 15 , -   , 4 , -   , -   , 83 ,,
9,(b) (6) , -   , 4 , -   , 1 , -   , -   , -   , -   , 5 ,,
10,(b) (6) , -   , 191 , -   , -   , -   , 43 , -   , -   , 234 ,,
11,(b) (6) , 21 ," 2,685 ", 10 , 129 , -   , 24 , -   , -   ," 2,869 ",,
12,(b) (6) , 2 , 2 , -   , 70 , -   , 5 , -   , -   , 79 ,,
13,(b) (6) , 62 , 133 , 54 , 17 , -   , 33 , -   , -   , 299 ,,
  Federal Sub Total ,, 373 ," 13,102 ", 304 , 489 , -   ," 7,216 ", -   , 1 ," 21,485 ",,
1,(b) (6) , -   , 2 , 1 , -   , -   , 4 , -   , 3 , 10 ,,
2,(b) (6) , -   , 57 , -   , 8 , -   , 1 , -   , -   , 66 ,,
3,(b) (6) , 9 , 83 , 19 , 17 , -   , 5 , 29 , 67 , 229 ,,
4,(b) (6) , 10 , 456 , 295 ,, 284 , 34 , 24 , 191 ," 1,294 ",,
5,(b) (6) , -   , 1 , -   , 3 , 12 , -   , -   , -   , 16 ,,
6,(b) (6) , 20 , 3 , 28 , 1 , -   , 13 , -   , -   , 65 ,,
7,(b) (6) , 1 , -   , 2 , 1 , 2 , 1 , 1 , 19 , 27 ,,
8,(b) (6) , 1 ," 9,475 ", 114 ," 1,068 "," 2,223 "," 8,120 ", 7 ," 1,686 "," 22,694 ",,
9,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
10,(b) (6) , 55 , 903 , 5 , 6 , -   , 20 , -   , -   , 989 ,,
11,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
12,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
14,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
15,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
16,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, 96 ," 10,980 ", 464 ," 1,104 "," 2,521 "," 8,198 ", 61 ," 1,966 "," 25,390 ",,
Phoenix TOTAL,, 469 ," 24,082 ", 768 ," 1,593 "," 2,521 "," 15,414 ", 61 ," 1,967 "," 46,875 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Portland Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
