NAME,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,,FY 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal TOTAL,Tribal TOTAL,TOTAL
,,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,
,c. endodontics (root canal),0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,11 ,3 ,0 ,3 ,0 ,2 ,2 ,0 ,0 ,0 ,1 ,0 ,1 ,15 ,0 ,15 ,0 ,71 ,71 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30 ,73 ,103 
,d. periodontics (gum surgery),0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,4 
,e. oral surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,13 ,0 ,25 ,25 ,0 ,0 ,0 ,1 ,1 ,2 ,159 ,29 ,188 ,0 ,138 ,138 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,173 ,193 ,366 
,f. other ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,35 ,0 ,35 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,22 ,22 ,1 ,"2,176 ","2,177 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42 ,"2,198 ","2,240 "
 3. ENT Services,a. non-acute otitis media,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,51 ,0 ,51 ,64 ,0 ,64 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,116 ,1 ,117 
,b. tympanoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,23 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,23 ,0 ,23 
,c. T&As,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,4 ,0 ,4 ,0 ,1 ,1 ,0 ,0 ,0 ,41 ,11 ,52 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45 ,14 ,59 
,d. septo-rhinoplasties,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,33 ,0 ,33 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,1 ,40 
,e. P E tubes,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,4 ,1 ,0 ,1 ,1 ,4 ,5 ,0 ,0 ,0 ,53 ,4 ,57 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,55 ,12 ,67 
,f. other,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,0 ,0 ,42 ,0 ,42 ,0 ,18 ,18 ,0 ,234 ,234 ,570 ,390 ,960 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,621 ,642 ,"1,263 "
 4. GYN Procedures,a. hysterectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,10 ,13 ,0 ,13 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,12 ,25 
,b. other elective procedures,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,6 ,0 ,6 ,0 ,35 ,35 ,13 ,0 ,13 ,2 ,6 ,8 ,0 ,0 ,0 ,3 ,518 ,521 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28 ,559 ,587 
 5.  Medical Referral/,a. dermatology,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,8 ,15 ,0 ,15 ,0 ,0 ,0 ,15 ,0 ,15 ,0 ,17 ,17 ,27 ,371 ,398 ,430 ,115 ,545 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,495 ,503 ,998 
      Procedures,b. neurology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,10 ,2 ,1 ,3 ,1 ,3 ,4 ,106 ,674 ,780 ,421 ,0 ,421 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,530 ,688 ,"1,218 "
,c. EEG/EMG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,10 ,10 ,0 ,0 ,0 ,94 ,20 ,114 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,103 ,30 ,133 
,d. internal medicine,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24 ,24 ,0 ,0 ,0 ,5 ,93 ,98 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,117 ,125 
,e. nephrology/IVPs,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,8 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,11 ,11 ,106 ,440 ,546 ,55 ,292 ,347 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,175 ,743 ,918 
,f. hematology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,8 ,8 ,0 ,356 ,356 ,63 ,38 ,101 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64 ,402 ,466 
,g. oncology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,12 ,1 ,0 ,1 ,2 ,5 ,7 ,26 ,362 ,388 ,6 ,83 ,89 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35 ,462 ,497 
,h. GI/gastroscopy,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,19 ,0 ,19 ,0 ,1 ,1 ,30 ,0 ,30 ,0 ,55 ,55 ,92 ,551 ,643 ,330 ,226 ,556 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,475 ,833 ,"1,308 "
,i. pulmonary,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,13 ,0 ,13 ,0 ,17 ,17 ,0 ,250 ,250 ,177 ,466 ,643 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,196 ,733 ,929 
,j. CAT scans/nuclear med./MRI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,80 ,0 ,80 ,0 ,5 ,5 ,61 ,0 ,61 ,0 ,5 ,5 ,247 ,11 ,258 ,27 ,141 ,168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,415 ,162 ,577 
,k. edocrinology,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,10 ,0 ,0 ,0 ,8 ,0 ,8 ,1 ,7 ,8 ,43 ,227 ,270 ,162 ,375 ,537 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,224 ,609 ,833 
,l. rheumatology,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,2 ,0 ,2 ,0 ,1 ,1 ,18 ,0 ,18 ,2 ,13 ,15 ,71 ,224 ,295 ,145 ,602 ,747 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,239 ,840 ,"1,079 "
,m. podiatry,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,6 ,0 ,6 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,4 ,4 ,276 ,24 ,300 ,46 ,983 ,"1,029 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,338 ,"1,011 ","1,349 "
,n. genetic counseling,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22 ,22 ,1 ,0 ,1 ,349 ,0 ,349 ,19 ,0 ,19 ,211 ,68 ,279 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,580 ,90 ,670 
,o. other,0 ,0 ,0 ,0 ,0 ,0 ,75 ,0 ,75 ,249 ,0 ,249 ,0 ,2 ,2 ,496 ,0 ,496 ,0 ,0 ,0 ,0 ,"1,838 ","1,838 ","2,458 ","1,755 ","4,213 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,278 ","3,595 ","6,873 "
6. Ophthalmolgic ,a. cataract surgery,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,6 ,0 ,6 ,0 ,0 ,0 ,5 ,0 ,5 ,0 ,7 ,7 ,235 ,0 ,235 ,"1,138 ",94 ,"1,232 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,385 ",101 ,"1,486 "
     Services,b. diabetic retinop./laser,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,5 ,5 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,5 ,12 
,c. pterygium excision,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,2 ,3 
,d. other ophthalmolgic,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,0 ,0 ,0 ,7 ,0 ,7 ,0 ,9 ,9 ,725 ,947 ,"1,672 ","1,246 ",159 ,"1,405 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,987 ","1,115 ","3,102 "
7. Orthopedic ,a. arthroscopy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,8 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,10 
    Procedures,b. tendon repair/carpal tunnel,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,3 ,3 ,8 ,0 ,8 ,4 ,5 ,9 ,0 ,0 ,0 ,19 ,0 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33 ,8 ,41 
,c. other orthopedic,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,12 ,0 ,12 ,0 ,2 ,2 ,241 ,0 ,241 ,0 ,85 ,85 ,270 ,"1,325 ","1,595 ","1,104 ","2,260 ","3,364 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,631 ","3,672 ","5,303 "
8. Prosthetics/,a. prosthetic devices V52,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,5 ,1 ,0 ,1 ,0 ,2 ,2 ,2 ,0 ,2 ,0 ,9 ,9 ,33 ,11 ,44 ,3 ,"1,001 ","1,004 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,44 ,"1,023 ","1,067 "
    Orthotics,b. other devices,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,13 ,1 ,14 ,2 ,5 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,6 ,24 
,c. wheelchairs,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,11 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,23 ,35 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,35 ,48 
,d. other,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,12 ,0 ,12 ,0 ,5 ,5 ,1 ,0 ,1 ,0 ,0 ,0 ,69 ,0 ,69 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,84 ,6 ,90 
9. Psychiatric Eval.,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,108 ,111 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,108 ,115 
10. Surgical Referal,a. hemorrhoidectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,13 
      Procedures,b. cholecystectomy,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,55 ,55 ,3 ,0 ,3 ,0 ,14 ,14 ,0 ,0 ,0 ,6 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,69 ,79 
,c. minor surgery,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,d. circumcisions,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,5 
,c. colonoscopy,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,3 ,13 ,0 ,13 ,0 ,0 ,0 ,13 ,0 ,13 ,0 ,9 ,9 ,0 ,8 ,8 ,38 ,30 ,68 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,67 ,47 ,114 
,d. hernia repair,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,20 ,20 ,2 ,0 ,2 ,0 ,3 ,3 ,0 ,0 ,0 ,12 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,23 ,39 
,e. urology/cystoscopy,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,14 ,0 ,14 ,0 ,13 ,13 ,10 ,0 ,10 ,0 ,19 ,19 ,30 ,638 ,668 ,852 ,358 ,"1,210 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,910 ,"1,028 ","1,938 "
,f. Other ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,0 ,11 ,5 ,0 ,5 ,0 ,0 ,0 ,67 ,1 ,68 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,012 ",520 ,"1,532 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,095 ",521 ,"1,616 "
TOTAL,,0 ,0 ,0 ,0 ,0 ,0 ,146 ,0 ,146 ,584 ,0 ,584 ,0 ,267 ,267 ,"1,139 ",2 ,"1,141 ",377 ,403 ,780 ,"3,366 ","9,039 ","12,405 ","11,316 ","13,581 ","24,897 ",0 ,0 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,"16,931 ","23,292 ","40,223 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque Area Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3B,,PRC Deferrals - Acute and Chronic Primary and Secondary Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY:,,Federal PRC Programs,,,,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,(b) (6) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 l. Cardiac ,a. cardiac catheterization, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
    Procedures,b. arteriogram, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,c angioplasty, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. angiogram, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,"e. other (echo's, Holters)", -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. stress tests, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
 2. Dental ,a. orthodontics (braces), -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
     Procedures,"b. prosthodontics-bridges,dentures", -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,c. endodontics (root canal), -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. periodontics (gum surgery), -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. oral surgery, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. other , -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
 3. ENT Services,a. non-acute otitis media, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. tympanoplasties, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,c. tonsillectomy and adenoidectomy, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. septo-rhinoplasties, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. P E tubes, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. other, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
 4. GYN Procedures,a. hysterectomy, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. other elective procedures, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
 5.  Medical Referral/,a. dermatology, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
      Procedures,b. neurology, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,c. EEG/EMG, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,d. internal medicine, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,e. nephrology/IVPs, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,f. hematology, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,g. oncology, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,h. GI/gastroscopy, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,i. pulmonary, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,j. CAT scans/nuclear med./MRI, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,
