"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Total"	"New York"	"36"			7146	77669322	9.2005
	"North Carolina"	"37"	"2018"	"2018"	1300	10383620	12.5197
	"North Carolina"	"37"	"2019"	"2019"	1443	10488084	13.7585
	"North Carolina"	"37"	"2020"	"2020"	1652	10600823	15.5837
	"North Carolina"	"37"	"2021 (provisional)"	"2021"	1879	10600823	17.7250
"Total"	"North Carolina"	"37"			6274	42073350	14.9121
	"North Dakota"	"38"	"2018"	"2018"	106	760077	13.9460
	"North Dakota"	"38"	"2019"	"2019"	116	762062	15.2219
	"North Dakota"	"38"	"2020"	"2020"	135	765309	17.6399
	"North Dakota"	"38"	"2021 (provisional)"	"2021"	147	765309	19.2079
"Total"	"North Dakota"	"38"			504	3052757	16.5097
	"Ohio"	"39"	"2018"	"2018"	1521	11689442	13.0117
	"Ohio"	"39"	"2019"	"2019"	1622	11689100	13.8762
	"Ohio"	"39"	"2020"	"2020"	1798	11693217	15.3764
	"Ohio"	"39"	"2021 (provisional)"	"2021"	2021	11693217	17.2835
"Total"	"Ohio"	"39"			6962	46764976	14.8872
	"Oklahoma"	"40"	"2018"	"2018"	686	3943079	17.3976
	"Oklahoma"	"40"	"2019"	"2019"	705	3956971	17.8167
	"Oklahoma"	"40"	"2020"	"2020"	778	3980783	19.5439
	"Oklahoma"	"40"	"2021 (provisional)"	"2021"	866	3980783	21.7545
"Total"	"Oklahoma"	"40"			3035	15861616	19.1342
	"Oregon"	"41"	"2018"	"2018"	699	4190713	16.6797
	"Oregon"	"41"	"2019"	"2019"	658	4217737	15.6008
	"Oregon"	"41"	"2020"	"2020"	831	4241507	19.5921
	"Oregon"	"41"	"2021 (provisional)"	"2021"	926	4241507	21.8319
"Total"	"Oregon"	"41"			3114	16891464	18.4353
	"Pennsylvania"	"42"	"2018"	"2018"	1366	12807060	10.6660
	"Pennsylvania"	"42"	"2019"	"2019"	1479	12801989	11.5529
	"Pennsylvania"	"42"	"2020"	"2020"	1632	12783254	12.7667
	"Pennsylvania"	"42"	"2021 (provisional)"	"2021"	1825	12783254	14.2765
"Total"	"Pennsylvania"	"42"			6302	51175557	12.3145
	"Rhode Island"	"44"	"2018"	"2018"	167	1057315	15.7947
	"Rhode Island"	"44"	"2019"	"2019"	141	1059361	13.3099
	"Rhode Island"	"44"	"2020"	"2020"	179	1057125	16.9327
	"Rhode Island"	"44"	"2021 (provisional)"	"2021"	199	1057125	18.8246
"Total"	"Rhode Island"	"44"			686	4230926	16.2139
	"South Carolina"	"45"	"2018"	"2018"	791	5084127	15.5582
	"South Carolina"	"45"	"2019"	"2019"	826	5148714	16.0428
	"South Carolina"	"45"	"2020"	"2020"	1028	5218040	19.7009
	"South Carolina"	"45"	"2021 (provisional)"	"2021"	1096	5218040	21.0041
"Total"	"South Carolina"	"45"			3741	20668921	18.0996
	"South Dakota"	"46"	"2018"	"2018"	186	882235	21.0828
	"South Dakota"	"46"	"2019"	"2019"	154	884659	17.4078
	"South Dakota"	"46"	"2020"	"2020"	235	892717	26.3241
	"South Dakota"	"46"	"2021 (provisional)"	"2021"	330	892717	36.9658
"Total"	"South Dakota"	"46"			905	3552328	25.4763
	"Tennessee"	"47"	"2018"	"2018"	1098	6770010	16.2186
	"Tennessee"	"47"	"2019"	"2019"	1118	6829174	16.3709
	"Tennessee"	"47"	"2020"	"2020"	1329	6886834	19.2977
	"Tennessee"	"47"	"2021 (provisional)"	"2021"	1417	6886834	20.5755
"Total"	"Tennessee"	"47"			4962	27372852	18.1274
	"Texas"	"48"	"2018"	"2018"	4154	28701845	14.4729
	"Texas"	"48"	"2019"	"2019"	4359	28995881	15.0332
	"Texas"	"48"	"2020"	"2020"	4930	29360759	16.7911
	"Texas"	"48"	"2021 (provisional)"	"2021"	5273	29360759	17.9593
"Total"	"Texas"	"48"			18716	116419244	16.0764
	"Utah"	"49"	"2018"	"2018"	287	3161105	9.0791
	"Utah"	"49"	"2019"	"2019"	261	3205958	8.1411
	"Utah"	"49"	"2020"	"2020"	307	3249879	9.4465
	"Utah"	"49"	"2021 (provisional)"	"2021"	356	3249879	10.9543
"Total"	"Utah"	"49"			1211	12866821	9.4118
	"Vermont"	"50"	"2018"	"2018"	60	626299	9.5801
	"Vermont"	"50"	"2019"	"2019"	79	623989	12.6605
	"Vermont"	"50"	"2020"	"2020"	90	623347	14.4382
	"Vermont"	"50"	"2021 (provisional)"	"2021"	108	623347	17.3258
"Total"	"Vermont"	"50"			337	2496982	13.4963
	"Virginia"	"51"	"2018"	"2018"	944	8517685	11.0828
	"Virginia"	"51"	"2019"	"2019"	1037	8535519	12.1492
	"Virginia"	"51"	"2020"	"2020"	1226	8590563	14.2715
	"Virginia"	"51"	"2021 (provisional)"	"2021"	1183	8590563	13.7709
"Total"	"Virginia"	"51"			4390	34234330	12.8234
	"Washington"	"53"	"2018"	"2018"	990	7535591	13.1377
	"Washington"	"53"	"2019"	"2019"	1089	7614893	14.3009
	"Washington"	"53"	"2020"	"2020"	1257	7693612	16.3382
	"Washington"	"53"	"2021 (provisional)"	"2021"	1405	7693612	18.2619
"Total"	"Washington"	"53"			4741	30537708	15.5251
	"West Virginia"	"54"	"2018"	"2018"	350	1805832	19.3816
	"West Virginia"	"54"	"2019"	"2019"	394	1792147	21.9848
	"West Virginia"	"54"	"2020"	"2020"	389	1784787	21.7953
	"West Virginia"	"54"	"2021 (provisional)"	"2021"	417	1784787	23.3641
"Total"	"West Virginia"	"54"			1550	7167553	21.6252
	"Wisconsin"	"55"	"2018"	"2018"	731	5813568	12.5740
	"Wisconsin"	"55"	"2019"	"2019"	739	5822434	12.6923
	"Wisconsin"	"55"	"2020"	"2020"	873	5832655	14.9675
	"Wisconsin"	"55"	"2021 (provisional)"	"2021"	913	5832655	15.6532
"Total"	"Wisconsin"	"55"			3256	23301312	13.9735
	"Wyoming"	"56"	"2018"	"2018"	122	577737	21.1169
	"Wyoming"	"56"	"2019"	"2019"	141	578759	24.3625
	"Wyoming"	"56"	"2020"	"2020"	174	582328	29.8801
	"Wyoming"	"56"	"2021 (provisional)"	"2021"	177	582328	30.3952
"Total"	"Wyoming"	"56"			614	2321152	26.4524
"Total"					195423	1314375203	14.8681
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Month"
"Query Parameters:"
"UCD - ICD-10 113 Cause List: #Chronic liver disease and cirrhosis (K70,K73-K74)"
"Year/Month: 2018; 2019; 2020; 2021 (provisional)"
"Group By: Residence State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Oct 22, 2022 1:58:14 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2020,"
"and from provisional data for years 2021-2022, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Oct 22, 2022 1:58:14"
"PM"
"---"
Caveats:
"1. The population figures for years 2021 and 2020 are single-race estimates of the July 1 resident population, from the Vintage"
"2020 postcensal series released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series released by the Census Bureau on June 25,"
"2020. The population figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by the Census Bureau on June 20, 2019."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"3. Deaths occurring through October 01, 2022 as of October 11, 2022."
