"YEAR","STATE","TX","DO","TX_DO_RATIO"
2021,"MD",210,138,1.52173913043478
2018,"ME",0,24,0
2019,"ME",0,29,0
2020,"ME",0,24,0
2021,"ME",0,30,0
2018,"MI",191,222,0.86036036036036
2019,"MI",205,223,0.919282511210762
2020,"MI",175,223,0.7847533632287
2021,"MI",205,238,0.861344537815126
2018,"MN",144,89,1.61797752808989
2019,"MN",159,108,1.47222222222222
2020,"MN",188,73,2.57534246575342
2021,"MN",212,90,2.35555555555556
2018,"MO",167,219,0.762557077625571
2019,"MO",176,254,0.692913385826772
2020,"MO",180,260,0.692307692307692
2021,"MO",205,248,0.826612903225806
2018,"MS",46,75,0.613333333333333
2019,"MS",51,64,0.796875
2020,"MS",37,65,0.569230769230769
2021,"MS",48,79,0.607594936708861
2018,"MT",0,23,0
2019,"MT",0,11,0
2020,"MT",0,25,0
2021,"MT",0,25,0
2018,"NC",198,193,1.0259067357513
2019,"NC",244,251,0.972111553784861
2020,"NC",204,262,0.778625954198473
2021,"NC",214,242,0.884297520661157
2018,"ND",0,15,0
2019,"ND",0,13,0
2020,"ND",0,23,0
2021,"ND",0,18,0
2018,"NE",68,42,1.61904761904762
2019,"NE",85,41,2.07317073170732
2020,"NE",101,46,2.19565217391304
2021,"NE",93,52,1.78846153846154
2018,"NH",0,19,0
2019,"NH",0,27,0
2020,"NH",0,13,0
2021,"NH",0,22,0
2018,"NJ",50,152,0.328947368421053
2019,"NJ",56,161,0.347826086956522
2020,"NJ",44,152,0.289473684210526
2021,"NJ",59,185,0.318918918918919
2018,"NM",0,33,0
2019,"NM",0,33,0
2020,"NM",0,43,0
2021,"NM",0,48,0
2018,"NV",0,131,0
2019,"NV",0,146,0
2020,"NV",0,144,0
2021,"NV",0,138,0
2018,"NY",376,310,1.21290322580645
2019,"NY",397,333,1.19219219219219
2020,"NY",512,263,1.9467680608365
2021,"NY",554,327,1.69418960244648
2018,"OH",378,324,1.16666666666667
2019,"OH",426,326,1.30674846625767
2020,"OH",450,356,1.26404494382022
2021,"OH",477,383,1.24543080939948
2018,"OK",52,115,0.452173913043478
2019,"OK",56,95,0.589473684210526
2020,"OK",85,98,0.86734693877551
2021,"OK",125,99,1.26262626262626
2018,"OR",82,50,1.64
2019,"OR",76,49,1.55102040816327
2020,"OR",88,82,1.07317073170732
2021,"OR",83,86,0.965116279069767
2018,"PA",467,397,1.17632241813602
2019,"PA",493,406,1.21428571428571
2020,"PA",447,414,1.07971014492754
2021,"PA",411,402,1.02238805970149
2018,"PR",32,75,0.426666666666667
2019,"PR",42,85,0.494117647058824
2020,"PR",29,85,0.341176470588235
2021,"PR",33,83,0.397590361445783
2018,"RI",0,9,0
2019,"RI",0,16,0
2020,"RI",0,11,0
2021,"RI",0,16,0
2018,"SC",74,125,0.592
2019,"SC",75,124,0.604838709677419
2020,"SC",56,132,0.424242424242424
2021,"SC",71,109,0.651376146788991
2018,"SD",8,12,0.666666666666667
2019,"SD",12,22,0.545454545454545
2020,"SD",14,12,1.16666666666667
2021,"SD",6,14,0.428571428571429
2018,"TN",221,261,0.846743295019157
2019,"TN",226,264,0.856060606060606
2020,"TN",243,286,0.84965034965035
2021,"TN",211,317,0.665615141955836
2018,"TX",699,668,1.04640718562874
2019,"TX",773,777,0.994851994851995
2020,"TX",764,717,1.06555090655509
2021,"TX",717,688,1.0421511627907
2018,"US",7348,7347,1.00013610997686
2019,"US",7900,7898,1.00025322866548
2020,"US",7978,7978,1
2021,"US",8239,8239,1
2018,"UT",76,68,1.11764705882353
2019,"UT",77,67,1.14925373134328
2020,"UT",111,76,1.46052631578947
2021,"UT",124,83,1.49397590361446
2018,"VA",164,145,1.13103448275862
2019,"VA",182,164,1.10975609756098
2020,"VA",188,159,1.18238993710692
2021,"VA",213,169,1.2603550295858
2018,"VT",0,4,0
2019,"VT",0,10,0
2020,"VT",0,8,0
2021,"VT",0,12,0
2018,"WA",141,131,1.0763358778626
2019,"WA",147,154,0.954545454545455
2020,"WA",137,149,0.919463087248322
2021,"WA",136,161,0.84472049689441
2018,"WI",164,145,1.13103448275862
2019,"WI",145,154,0.941558441558442
2020,"WI",182,179,1.01675977653631
2021,"WI",141,146,0.965753424657534
2018,"WV",0,50,0
2019,"WV",0,48,0
2020,"WV",0,80,0
2021,"WV",0,77,0
2018,"WY",0,5,0
2019,"WY",0,8,0
2020,"WY",0,5,0
2021,"WY",0,7,0
