"YEAR","STATE_REGION","DON_DEATH_MECH","N_DONORS","PCT_OF_DONORS"
2021,"Northeast","3: DRUG INTOXICATION",251,0.214897260273973
2021,"Northeast","9: BLUNT INJURY",158,0.13527397260274
2021,"Northeast","7: GUNSHOT WOUND",68,0.0582191780821918
2021,"South","11: INTRACRANIAL HEMORRHAGE/STROKE",904,0.260593831075238
2021,"South","3: DRUG INTOXICATION",674,0.194292303257423
2021,"South","9: BLUNT INJURY",579,0.166906889593543
2021,"South","5: CARDIOVASCULAR",561,0.161718074373018
2021,"South","7: GUNSHOT WOUND",367,0.105794176996253
2021,"Territory","11: INTRACRANIAL HEMORRHAGE/STROKE",43,0.518072289156627
2021,"Territory","9: BLUNT INJURY",25,0.301204819277108
2021,"Territory","3: DRUG INTOXICATION",6,0.072289156626506
2021,"Territory","7: GUNSHOT WOUND",5,0.0602409638554217
2021,"Territory","5: CARDIOVASCULAR",3,0.036144578313253
2021,"West","11: INTRACRANIAL HEMORRHAGE/STROKE",461,0.277209861695731
2021,"West","9: BLUNT INJURY",325,0.195429945880938
2021,"West","3: DRUG INTOXICATION",275,0.165363800360794
2021,"West","5: CARDIOVASCULAR",228,0.137101623571858
2021,"West","7: GUNSHOT WOUND",166,0.0998196031268791
2021,NA,"",492,1
